modulo,index_column,min_train_bucket_rows,max_abs_bucket_mean,valid_r2
27,sample_index,8301,0.026410752869675126,-0.00021944471821155886
44,sample_index,5093,0.043730830138618136,-0.0002470031037371534
3,sample_index,74710,0.011805259127123083,-0.0002478449059257759
5,sample_index,44826,0.012070956914967962,-0.0002508894982933274
9,sample_index,24903,0.016543819317598806,-0.0002579240702631491
11,sample_index,20375,0.019785886312359287,-0.0002642533531569402
13,sample_index,17240,0.023404292557259173,-0.0002770544995074342
10,sample_index,22413,0.01727169412671806,-0.0002821156796237734
2,sample_index,112065,0.014289619106366301,-0.00029076814839767984
23,sample_index,9744,0.03065078882972923,-0.0002915532988247982
31,sample_index,7230,0.03234024234070636,-0.0002937193176320019
55,sample_index,4075,0.03413716608268893,-0.00029850718232937723
35,sample_index,6403,0.031217823457511375,-0.0003078734801551519
33,sample_index,6791,0.03135748745477812,-0.00031115032057749126
18,sample_index,12451,0.022924339940933874,-0.0003211487715162331
6,sample_index,37355,0.016790989448686375,-0.00032418695339186954
22,sample_index,10187,0.030773210500902953,-0.00032836836957161886
39,sample_index,5746,0.040143662318843615,-0.0003356878468256941
4,sample_index,56032,0.017474705363798696,-0.0003399546521170027
8,sample_index,28016,0.018563771026672407,-0.00034071322195372566
41,sample_index,5466,0.03805123879826044,-0.0003443249378802804
7,sample_index,32018,0.023533840868674903,-0.0003458588112967842
26,sample_index,8620,0.03875307354116605,-0.00036324496368300707
14,sample_index,16009,0.023624404638389933,-0.0003740945491403913
15,sample_index,14942,0.02158813075888916,-0.00038678435221339846
29,sample_index,7728,0.026754538787927485,-0.0003901578509633019
21,sample_index,10672,0.03248617623230035,-0.00039164655401635606
54,sample_index,4150,0.035800115577480335,-0.0004018143878679048
17,sample_index,13184,0.023678076360875305,-0.0004053965412371685
24,sample_index,9338,0.02449920393798104,-0.00041364895004969426
12,sample_index,18677,0.023835435369518546,-0.00042484536134623774
25,sample_index,8965,0.031203965900766153,-0.0004261672983341125
37,sample_index,6057,0.03681420230306749,-0.000434925228138594
16,sample_index,14008,0.021052676437633464,-0.00043505641264540706
20,sample_index,11206,0.02336901062520996,-0.0004386061518790729
52,sample_index,4310,0.05154755300572718,-0.00046192496803754146
36,sample_index,6225,0.0370598338072283,-0.00047019192459707426
47,sample_index,4768,0.03969870491965806,-0.0004721155173039726
28,sample_index,8004,0.03793838567139967,-0.0004809364611373379
19,sample_index,11796,0.02587130224801318,-0.000496539394433837
45,sample_index,4980,0.04238074691378654,-0.0004975926065715619
42,sample_index,5336,0.03677072526943006,-0.0005052386960322508
30,sample_index,7471,0.04002827550687814,-0.0005067292726819161
51,sample_index,4394,0.038705687128144275,-0.0005184650514757916
32,sample_index,7004,0.030004992365173903,-0.0005188297885561077
34,sample_index,6592,0.03192396745427101,-0.0005267596496991711
46,sample_index,4872,0.0395057352837984,-0.0005285215367512031
40,sample_index,5603,0.03533395455135128,-0.0005306974088028493
48,sample_index,4669,0.05472362075958187,-0.0005781353348901508
59,sample_index,3798,0.03616025224847266,-0.0005789344141893249
62,sample_index,3615,0.042230506012592164,-0.000584074257122591
64,sample_index,3502,0.03704740129518139,-0.000601778475925574
63,sample_index,3557,0.056052166680468626,-0.0006050753588220381
53,sample_index,4228,0.043878463323424606,-0.0006146105299196236
38,sample_index,5898,0.03501577938611968,-0.0006544215727639635
43,sample_index,5212,0.038161838781591725,-0.0006634341422091516
50,sample_index,4482,0.04553188538954136,-0.0006637337530073228
56,sample_index,4002,0.047748478516671765,-0.0006660152068951319
49,sample_index,4574,0.04364712267213248,-0.0006685203347318591
61,sample_index,3674,0.04853281708638945,-0.000683173125613834
57,sample_index,3932,0.057033901411804394,-0.0006834081971611727
58,sample_index,3864,0.040696898288308775,-0.000695072515652928
60,sample_index,3735,0.04797165445637832,-0.0007348350921554392
89,sample_index,2518,0.06430260033719386,-0.0008799370346417312
127,sample_index,1764,0.06241048888466889,-0.00107362253531873
97,sample_index,2310,0.0564084838356612,-0.0011931611156430488
