baseline_model,residual_feature,residual_transform,alpha,baseline_valid_r2,final_valid_r2,delta_r2
pls_rank_k8,feature_59,z,0.010254630469274694,0.0030247820411032356,0.003337476701052444,0.00031269465994920864
pls_rank_k8,feature_60,top05_indicator,0.0314858421347741,0.0030247820411032356,0.003313162835419159,0.00028838079431592334
pls_rank_k8,feature_36,square_z,0.004596250030592096,0.0030247820411032356,0.0033074542544220265,0.0002826722133187909
pls_rank_k8,feature_58,top05_indicator,0.021961474951864488,0.0030247820411032356,0.0032464065946086196,0.00022162455350538401
pls_rank_k8,feature_47,top05_indicator,0.027744888519950668,0.0030247820411032356,0.0032433205128572506,0.00021853847175401508
pls_rank_k8,feature_58,z,0.006739346134919296,0.0030247820411032356,0.0032348352944563397,0.0002100532533531041
pls_rank_k8,feature_59,top05_indicator,0.02840676145939307,0.0030247820411032356,0.0032118556513143215,0.00018707361021108593
pls_rank_k8,feature_47,signed_tail05,0.01215359687886742,0.0030247820411032356,0.00320552002807728,0.00018073798697404442
pls_rank_k8,feature_75,square_z,0.00015042850149914045,0.0030247820411032356,0.0031848006427014353,0.0001600186015981997
pls_rank_k8,feature_70,z,-0.013135904850469624,0.0030247820411032356,0.0031748539444569346,0.00015007190335369902
pls_rank_k8,feature_60,z,0.004000503409669334,0.0030247820411032356,0.003173473050160358,0.00014869100905712251
pls_rank_k8,feature_49,top05_indicator,0.01997894333360248,0.0030247820411032356,0.003173257193305301,0.00014847515220206553
pls_rank_k8,feature_59,abs_z,0.004249070842585537,0.0030247820411032356,0.0031670120582137917,0.00014223001711055616
pls_rank_k8,feature_48,abs_z,0.007360585928665888,0.0030247820411032356,0.003164735505032268,0.0001399534639290323
pls_rank_k8,feature_56,square_z,0.0034680940421409553,0.0030247820411032356,0.003160019462252972,0.00013523742114973647
pls_rank_k8,feature_70,signed_tail05,-0.022741605202837065,0.0030247820411032356,0.003157715618868462,0.0001329335777652263
pls_rank_k8,feature_36,bottom05_indicator,0.015190911332408212,0.0030247820411032356,0.0031558933558513136,0.00013111131474807802
pls_rank_k8,feature_72,signed_tail05,-0.01866479221847256,0.0030247820411032356,0.0031463891701687396,0.00012160712906550408
pls_rank_k8,feature_67,z,-0.012635869927460084,0.0030247820411032356,0.003143875988365852,0.00011909394726261624
pls_rank_k8,feature_59,square_z,0.000452937968553007,0.0030247820411032356,0.003141847740937509,0.0001170656998342734
pls_rank_k8,feature_72,top05_indicator,-0.03306290729553674,0.0030247820411032356,0.0031381077204946095,0.00011332567939137395
pls_rank_k8,feature_58,signed_tail05,0.008878874212404344,0.0030247820411032356,0.003136826441299645,0.00011204440019640938
pls_rank_k8,feature_75,z,0.0034812298299919287,0.0030247820411032356,0.003132252571282801,0.00010747053017956532
pls_rank_k8,feature_60,signed_tail05,0.01699965237446749,0.0030247820411032356,0.0031299508629882844,0.00010516882188504884
pls_rank_k8,feature_56,abs_z,0.00451266046756806,0.0030247820411032356,0.003125860930075053,0.00010107888897181727
pls_rank_k8,feature_36,abs_z,0.0040973298663923505,0.0030247820411032356,0.0031230260523971154,0.00009824401129387983
pls_rank_k8,feature_47,z,0.0022853800350601783,0.0030247820411032356,0.0031226231237569957,0.00009784108265376013
pls_rank_k8,feature_42,sign,-0.00443646461838468,0.0030247820411032356,0.0031211947712604937,0.00009641273015725815
pls_rank_k8,feature_45,square_z,0.0026387161074483373,0.0030247820411032356,0.003120883557440002,0.00009610151633676622
pls_rank_k8,feature_43,sign,-0.007403192330751485,0.0030247820411032356,0.0031208081273692567,0.00009602608626602116
pls_rank_k8,feature_12,z,-0.014417735144778858,0.0030247820411032356,0.0031167451792513123,0.00009196313814807677
pls_rank_k8,feature_76,z,0.0023823347295272084,0.0030247820411032356,0.003114990754441771,0.00009020871333853542
pls_rank_k8,feature_41,rank,-0.015206115502821384,0.0030247820411032356,0.0031125482627656353,0.00008776622166239978
pls_rank_k8,feature_13,square_z,0.0005280452340746942,0.0030247820411032356,0.0031086038197327692,0.00008382177862953366
pls_rank_k8,feature_48,square_z,0.0007013717977042811,0.0030247820411032356,0.0031064907351493476,0.00008170869404611203
pls_rank_k8,feature_56,top05_indicator,0.01336527567237632,0.0030247820411032356,0.003106282314290665,0.00008150027318742925
pls_rank_k8,feature_48,top05_indicator,0.02765116319191867,0.0030247820411032356,0.003105820969601547,0.00008103892849831151
pls_rank_k8,feature_57,signed_tail05,0.013236327406967096,0.0030247820411032356,0.0031052516629253013,0.00008046962182206574
pls_rank_k8,feature_42,rank,-0.010934189134551936,0.0030247820411032356,0.003104362609978928,0.00007958056887569231
pls_rank_k8,feature_41,sign,-0.004930045302777451,0.0030247820411032356,0.0031033739862843523,0.00007859194518111678
pls_rank_k8,feature_49,abs_z,0.0027083539144833347,0.0030247820411032356,0.003100809621689682,0.00007602758058644632
pls_rank_k8,feature_13,abs_z,0.00461611185385849,0.0030247820411032356,0.003098486354779384,0.00007370431367614838
pls_rank_k8,feature_06,rank,0.008654710169726966,0.0030247820411032356,0.003094121009823869,0.00006933896872063361
pls_rank_k8,feature_06,sign,0.003923883163638286,0.0030247820411032356,0.0030933247674507225,0.00006854272634748693
pls_rank_k8,feature_38,signed_tail05,-0.008979431836331262,0.0030247820411032356,0.0030924008653420154,0.00006761882423877985
pls_rank_k8,feature_44,sign,-0.00401668084702691,0.0030247820411032356,0.0030922263844183062,0.00006744434331507065
pls_rank_k8,feature_20,square_z,0.0020323902226662984,0.0030247820411032356,0.003089357169906659,0.00006457512880342353
pls_rank_k8,feature_49,sign,-0.005464308429505892,0.0030247820411032356,0.003089337021832783,0.00006455498072954757
pls_rank_k8,feature_44,rank,-0.012789985923121833,0.0030247820411032356,0.003089145676880678,0.00006436363577744242
pls_rank_k8,feature_48,z,0.0030676677585432036,0.0030247820411032356,0.0030888481108166665,0.00006406606971343098
pls_rank_k8,feature_19,top05_indicator,-0.04722729773785341,0.0030247820411032356,0.003088620946830045,0.00006383890572680961
pls_rank_k8,feature_61,sign,0.003305746104122605,0.0030247820411032356,0.0030875197514220742,0.00006273771031883868
pls_rank_k8,feature_45,abs_z,0.0033148304547571464,0.0030247820411032356,0.003086603307559388,0.00006182126645615238
pls_rank_k8,feature_68,abs_z,0.003748195749877668,0.0030247820411032356,0.003086498155312145,0.00006171611420890954
pls_rank_k8,feature_70,sign,-0.002985055298196242,0.0030247820411032356,0.0030864814242028693,0.00006169938309963374
pls_rank_k8,feature_60,abs_z,0.001496741010038217,0.0030247820411032356,0.0030860384253706963,0.00006125638426746072
pls_rank_k8,feature_38,square_z,-0.003291958492767526,0.0030247820411032356,0.0030860183740116787,0.0000612363329084431
pls_rank_k8,feature_37,bottom05_indicator,0.012427103298647412,0.0030247820411032356,0.0030857226234720647,0.000060940582368829155
pls_rank_k8,feature_59,signed_tail05,0.012799476595539575,0.0030247820411032356,0.003085497707536855,0.000060715666433619475
pls_rank_k8,feature_15,z,0.0038141248038634514,0.0030247820411032356,0.003085036815016373,0.000060254773913137605
pls_rank_k8,feature_76,top05_indicator,0.015869815725504256,0.0030247820411032356,0.0030843563707246835,0.00005957432962144793
pls_rank_k8,feature_65,square_z,0.002977583731445132,0.0030247820411032356,0.0030833588553232927,0.000058576814220057116
pls_rank_k8,feature_38,top05_indicator,-0.022470608161081516,0.0030247820411032356,0.003083261866849707,0.00005847982574647137
pls_rank_k8,feature_41,square_z,0.002089447886389418,0.0030247820411032356,0.0030827132126466372,0.00005793117154340166
pls_rank_k8,feature_37,signed_tail05,-0.011943664331571284,0.0030247820411032356,0.0030808814793501504,0.00005609943824691488
pls_rank_k8,feature_14,top05_indicator,-0.028368532410323825,0.0030247820411032356,0.0030792858123877,0.000054503771284464264
pls_rank_k8,feature_70,rank,-0.00866293588028244,0.0030247820411032356,0.003078863690494593,0.00005408164939135762
pls_rank_k8,feature_14,signed_tail05,-0.012921410031479013,0.0030247820411032356,0.0030788287233188827,0.000054046682215647124
pls_rank_k8,feature_17,positive_indicator,0.008764599110087262,0.0030247820411032356,0.003078318842180794,0.000053536801077558316
pls_rank_k8,feature_54,square_z,0.002222854281537448,0.0030247820411032356,0.0030778804544251415,0.0000530984133219059
pls_rank_k8,feature_41,z,-0.003586808900767892,0.0030247820411032356,0.0030771387180973386,0.00005235667699410307
pls_rank_k8,feature_06,positive_indicator,0.0033109732115920152,0.0030247820411032356,0.003076542655109038,0.00005176061400580245
pls_rank_k8,feature_44,z,-0.003002882082267433,0.0030247820411032356,0.0030765187803205585,0.000051736739217322913
pls_rank_k8,feature_58,sign,-0.008806852386028382,0.0030247820411032356,0.0030764487937635643,0.00005166675266032872
pls_rank_k8,feature_12,sign,-0.0032802665259713598,0.0030247820411032356,0.0030747851299562923,0.00005000308885305671
pls_rank_k8,feature_20,abs_z,0.0029895514173176705,0.0030247820411032356,0.0030743292326896876,0.000049547191586452044
pls_rank_k8,feature_13,z,0.005017578738574509,0.0030247820411032356,0.0030739672266100193,0.000049185185506783746
pls_rank_k8,feature_15,positive_indicator,0.010069577646952982,0.0030247820411032356,0.0030736487388683953,0.00004886669776515973
pls_rank_k8,feature_75,signed_tail05,0.007623564387117211,0.0030247820411032356,0.0030728373221180494,0.00004805528101481382
pls_rank_k8,feature_12,signed_tail05,-0.01961821825532143,0.0030247820411032356,0.0030722874223261254,0.00004750538122288983
pls_rank_k8,feature_48,bottom05_indicator,0.008391785767172272,0.0030247820411032356,0.0030712278910939306,0.00004644584999069501
pls_rank_k8,feature_49,z,0.0014398405867470797,0.0030247820411032356,0.0030709034277836,0.000046121386680364473
pls_rank_k8,feature_16,abs_z,0.0025123829954519926,0.0030247820411032356,0.003070670560320954,0.000045888519217718304
pls_rank_k8,feature_42,z,-0.0016534541980159246,0.0030247820411032356,0.0030699411914439922,0.00004515915034075668
pls_rank_k8,feature_67,square_z,-0.0011591233673542195,0.0030247820411032356,0.0030699015758326453,0.00004511953472940977
pls_rank_k8,feature_65,abs_z,0.002492765779871278,0.0030247820411032356,0.0030698396241489734,0.000045057583045737815
pls_rank_k8,feature_70,bottom05_indicator,0.009014911922055646,0.0030247820411032356,0.003069763633615885,0.00004498159251264955
pls_rank_k8,feature_52,sign,-0.00390997649520734,0.0030247820411032356,0.0030696909798395566,0.00004490893873632107
pls_rank_k8,feature_40,square_z,0.0024937146058755877,0.0030247820411032356,0.0030696293408751796,0.000044847299771944016
pls_rank_k8,feature_21,top05_indicator,0.010947334147368851,0.0030247820411032356,0.0030687259624073704,0.000043943921304134825
pls_rank_k8,feature_18,abs_z,0.0037530627226331505,0.0030247820411032356,0.003068401350691974,0.000043619309588738275
