rule,window_index,train_start,train_end,valid_start,valid_end,train_rows,valid_rows,alpha,valid_r2,valid_corr
feature_04::z,1,900,1012,1013,1125,44928,50372,-0.02250688609693271,0.001308414182282669,-0.03835126102784369
feature_04::z,2,900,1125,1126,1237,95300,52345,-0.025710977363763966,0.0011231432536135122,-0.03413780362292544
feature_04::z,3,900,1237,1238,1349,147645,52296,-0.02794554473484497,0.00020359344322207207,-0.021671177003829867
feature_04::z,4,900,1349,1350,1461,199941,50059,-0.024969375655626163,0.0013709459414593672,-0.0378029605764004
feature_16::square_z,1,900,1012,1013,1125,44928,50372,0.00010221236280991281,-3.0942344377837827e-6,0.0003251670769401697
feature_16::square_z,2,900,1125,1126,1237,95300,52345,0.000026501872608207377,-5.163396612939408e-6,-0.0035182617127942364
feature_16::square_z,3,900,1237,1238,1349,147645,52296,-0.00016563521796887472,-1.7715111306770837e-6,0.008453238422177439
feature_16::square_z,4,900,1349,1350,1461,199941,50059,-0.00012982369795166366,-0.000051761067915823133,0.026478578874868215
