run,rows,train_rows,valid_rows,date_min,date_max,split_date,feature_count,best_univariate_valid_r2,best_univariate,best_modulo_valid_r2,best_modulo,permutation_best_valid_r2_p95,permutation_best_valid_r2_max,mp_upper_outlier_count,null_p95,null_max
global_stride200_perm10,235637,157428,78209,0,1698,1274,79,0.0012275946745993194,feature_04::z,0.000045139568735863556,14,0.00022340786360929276,0.000269216121299265,19,0.00022340786360929276,0.000269216121299265
recent1200_stride50_perm10,300000,224131,75869,1200,1608,1506,79,0.0010295024142236153,feature_16::square_z,-0.00021944471821155886,27,0.0000992093262958127,0.00009963510310462276,19,0.0000992093262958127,0.00009963510310462276
