fold,train_start,train_end,valid_start,valid_end,engine,feature_set,n_features,train_sample_rows,rows,numerator,denominator,weighted_zero_mean_r2
rw_01,1539,1658,1659,1678,lightgbm,operational,95,222638,740520,957319.8989524515,960511.5364725835,0.0033228518335689516
rw_02,1559,1678,1679,1698,lightgbm,operational,95,223096,752136,799937.1996283551,800877.1940120393,0.001173706019739762
