fold,train_start,train_end,selection_start,selection_end,valid_start,valid_end,phase,strategy,rows,numerator,denominator,weighted_zero_mean_r2,prediction_mean,prediction_std
otf_01,1459,1578,1579,1598,1599,1618,selection,base_ensemble,740520,1395488.9056181067,1404830.6317658236,0.0066497170096402325,0.0038671409043712123,0.04751050929518118
otf_01,1459,1578,1579,1598,1599,1618,selection,batch_missing_clock_simplex,740520,1395503.9425568702,1404830.6317658236,0.006639013271820593,0.0038436334187708756,0.04750765019624407
otf_01,1459,1578,1579,1598,1599,1618,selection,batch_missing_tail_frozen_q90_q99_q99_q100,740520,1395475.4494903148,1404830.6317658236,0.006659295479448435,0.0038669007429570296,0.0475013119552675
otf_01,1459,1578,1579,1598,1599,1618,validation,base_ensemble,742456,1709635.9681381113,1715907.938301224,0.003655190364887595,0.0021814724163581587,0.04276766895532911
otf_01,1459,1578,1579,1598,1599,1618,validation,batch_missing_clock_simplex,742456,1709654.2988572451,1715907.938301224,0.0036445075545079586,0.0021669010325613327,0.042857137143365046
otf_01,1459,1578,1579,1598,1599,1618,validation,batch_missing_tail_frozen_q90_q99_q99_q100,742456,1709639.2860537723,1715907.938301224,0.0036532567438657404,0.002176688446567879,0.042776185540691396
otf_01,1459,1578,1579,1598,1599,1618,validation,batch_missing_tail_selection_gated_q90_q99_q99_q100,742456,1709639.2860537723,1715907.938301224,0.0036532567438657404,0.002176688446567879,0.042776185540691396
otf_02,1479,1598,1599,1618,1619,1638,selection,base_ensemble,742456,1707570.8071663207,1715907.938301224,0.004858728693310388,-0.0034069835466239936,0.041286928715546616
otf_02,1479,1598,1599,1618,1619,1638,selection,batch_missing_clock_simplex,742456,1707624.8721541646,1715907.938301224,0.00482722059976004,-0.0033594120573990135,0.040685980727374615
otf_02,1479,1598,1599,1618,1619,1638,selection,batch_missing_tail_frozen_q90_q99_q99_q100,742456,1707599.9645916037,1715907.938301224,0.0048417362751088655,-0.0034197359422520755,0.04119611893182378
otf_02,1479,1598,1599,1618,1619,1638,validation,base_ensemble,737616,1255946.4556169605,1261533.1712373619,0.004428512660449191,-0.0026394305983733126,0.037158361510588156
otf_02,1479,1598,1599,1618,1619,1638,validation,batch_missing_clock_simplex,737616,1254977.0363341311,1261533.1712373619,0.005196957997386731,-0.004309567475202019,0.04672607958877142
otf_02,1479,1598,1599,1618,1619,1638,validation,batch_missing_tail_frozen_q90_q99_q99_q100,737616,1255587.3559224245,1261533.1712373619,0.0047131660510404405,-0.002768373902861504,0.03796671020957994
otf_02,1479,1598,1599,1618,1619,1638,validation,batch_missing_tail_selection_gated_q90_q99_q99_q100,737616,1255946.4556169605,1261533.1712373619,0.004428512660449191,-0.0026394305983733126,0.037158361510588156
otf_03,1499,1618,1619,1638,1639,1658,selection,base_ensemble,737616,1255111.1489097648,1261533.1712373619,0.005090648802597908,-0.004146100138386795,0.03896749719831051
otf_03,1499,1618,1619,1638,1639,1658,selection,batch_missing_clock_simplex,737616,1254494.5622137154,1261533.1712373619,0.005579408599095892,-0.00389146233148785,0.0454329012167195
otf_03,1499,1618,1619,1638,1639,1658,selection,batch_missing_tail_frozen_q90_q99_q99_q100,737616,1254977.820264277,1261533.1712373619,0.005196336586738348,-0.0041136766056990735,0.039284411172468885
otf_03,1499,1618,1619,1638,1639,1658,validation,base_ensemble,743424,723425.7332743423,725398.6499699302,0.002719768910060316,-0.001129849955085774,0.03659496123607137
otf_03,1499,1618,1619,1638,1639,1658,validation,batch_missing_clock_simplex,743424,723565.1870785278,725398.6499699302,0.0025275245431990445,-0.0017100510216891565,0.04318868337296416
otf_03,1499,1618,1619,1638,1639,1658,validation,batch_missing_tail_frozen_q90_q99_q99_q100,743424,723524.6808709739,725398.6499699302,0.002583364470052474,-0.0009492892784920653,0.03731444539059235
otf_03,1499,1618,1619,1638,1639,1658,validation,batch_missing_tail_selection_gated_q90_q99_q99_q100,743424,723524.6808709739,725398.6499699302,0.002583364470052474,-0.0009492892784920653,0.03731444539059235
otf_04,1519,1638,1639,1658,1659,1678,selection,base_ensemble,743424,723204.0730321486,725398.6499699302,0.0030253391536811947,-0.0027085776419133855,0.03414176261846216
otf_04,1519,1638,1639,1658,1659,1678,selection,batch_missing_clock_simplex,743424,723128.2093931215,725398.6499699302,0.0031299211501190083,-0.002691538005047399,0.04203714953831692
otf_04,1519,1638,1639,1658,1659,1678,selection,batch_missing_tail_frozen_q90_q99_q99_q100,743424,723022.2831748185,725398.6499699302,0.0032759459853008988,-0.0026762078668465814,0.03426483028281316
otf_04,1519,1638,1639,1658,1659,1678,validation,base_ensemble,740520,954569.2684187576,960511.5364725839,0.006186566041308406,-0.006231169605844106,0.041989346757490664
otf_04,1519,1638,1639,1658,1659,1678,validation,batch_missing_clock_simplex,740520,955598.420247437,960511.5364725839,0.005115103815608535,-0.006147635113116551,0.04372531844311697
otf_04,1519,1638,1639,1658,1659,1678,validation,batch_missing_tail_frozen_q90_q99_q99_q100,740520,954530.6367710292,960511.5364725839,0.00622678590984882,-0.006224945968349408,0.042045774410348465
otf_04,1519,1638,1639,1658,1659,1678,validation,batch_missing_tail_selection_gated_q90_q99_q99_q100,740520,954530.6367710292,960511.5364725839,0.00622678590984882,-0.006224945968349408,0.042045774410348465
otf_05,1539,1658,1659,1678,1679,1698,selection,base_ensemble,740520,954532.5095514413,960511.5364725839,0.006224836135857559,-0.0045919905066274394,0.041377599017738326
otf_05,1539,1658,1659,1678,1679,1698,selection,batch_missing_clock_simplex,740520,954863.8162969529,960511.5364725839,0.005879908737350337,-0.004558849046159944,0.0411078039164945
otf_05,1539,1658,1659,1678,1679,1698,selection,batch_missing_tail_frozen_q90_q99_q99_q100,740520,954481.030853289,960511.5364725839,0.006278431221598435,-0.0045923663542262565,0.04133348114556959
otf_05,1539,1658,1659,1678,1679,1698,validation,base_ensemble,752136,797835.105865205,800877.1940120393,0.0037984452167938443,-0.002460948488871062,0.03665831987398718
otf_05,1539,1658,1659,1678,1679,1698,validation,batch_missing_clock_simplex,752136,798020.1457933579,800877.1940120393,0.0035673986474367148,-0.0022098807753471996,0.039164652454632874
otf_05,1539,1658,1659,1678,1679,1698,validation,batch_missing_tail_frozen_q90_q99_q99_q100,752136,797798.5870908415,800877.1940120393,0.003844043686367704,-0.0024689502804847102,0.03669715134632774
otf_05,1539,1658,1659,1678,1679,1698,validation,batch_missing_tail_selection_gated_q90_q99_q99_q100,752136,797798.5870908415,800877.1940120393,0.003844043686367704,-0.0024689502804847102,0.03669715134632774
