clock_bucket,_simplex_rows,_simplex_weight_ridge_calibrated_prediction,_simplex_weight_xgboost_prediction,_simplex_weight_lightgbm_prediction,fold,clock
19,92112,0.5003067868589607,0.0,0.49969321314103926,otf_01,batch_missing
0,2138160,0.4548662647377119,0.0,0.545133735262288,otf_01,batch_missing
19,55104,0.020088505972727745,0.4359111100305953,0.544000383996677,otf_02,batch_missing
0,2167424,0.5982495011705646,0.18495993862086546,0.21679056020856996,otf_02,batch_missing
19,55368,0.0,0.6724268255527058,0.32757317444729417,otf_03,batch_missing
0,2177808,0.4256272913458427,0.5288422946475094,0.04553041400664798,otf_03,batch_missing
19,91872,0.0,0.6075844446978026,0.39241555530219746,otf_04,batch_missing
17,215232,0.06555371757954452,0.0,0.9344462824204555,otf_04,batch_missing
13,441792,0.0,0.0,1.0,otf_04,batch_missing
18,25488,0.12825076286769604,0.871749237132304,0.0,otf_04,batch_missing
0,1446208,0.5320517254963046,0.25592530299215865,0.21202297151153673,otf_04,batch_missing
16,215232,0.09039841035493502,0.0,0.909601589645065,otf_05,batch_missing
19,91944,0.0,0.3106239508881277,0.6893760491118723,otf_05,batch_missing
6,1141296,0.0,0.23249278642375848,0.7675072135762415,otf_05,batch_missing
0,724048,0.2897255358755911,0.7102744641244089,0.0,otf_05,batch_missing
18,50976,0.3148238680909881,0.6851761319090119,0.0,otf_05,batch_missing
