clock_bucket,_simplex_rows,_simplex_weight_ridge_calibrated_prediction,_simplex_weight_xgboost_prediction,_simplex_weight_lightgbm_prediction,fold,clock
18,102692,0.0,0.2760509406545529,0.7239490593454472,otf_01,batch_missing
19,7684,0.0,0.0,1.0,otf_01,batch_missing
0,1371632,0.5119610992443064,0.12307834657704123,0.3649605541786524,otf_01,batch_missing
19,73584,0.0835525569695418,0.7496978867446137,0.16674955628584456,otf_02,batch_missing
17,107616,1.0,0.0,0.0,otf_02,batch_missing
0,1009136,0.5389448295795027,0.29842782052308653,0.16262734989741073,otf_02,batch_missing
18,34928,0.5720223874665805,0.4279776125334196,0.0,otf_02,batch_missing
13,257712,0.7661658730856847,0.16015437133595967,0.0736797555783557,otf_02,batch_missing
19,71040,0.0,0.44952308400074115,0.5504769159992589,otf_03,batch_missing
0,438960,0.5834325323377277,0.26299369069528955,0.1535737769669827,otf_03,batch_missing
5,699504,0.7517577077764631,0.028317261187778327,0.21992503103575867,otf_03,batch_missing
18,69856,0.4424273957920754,0.1254950836589514,0.43207752054897314,otf_03,batch_missing
15,215232,1.0,0.0,0.0,otf_03,batch_missing
