clock_bucket,_simplex_rows,_simplex_weight_ridge_calibrated_prediction,_simplex_weight_xgboost_prediction,_simplex_weight_lightgbm_prediction,fold,clock
0,682512,0.624113440722907,0.0,0.375886559277093,otf_01,batch_missing
9,55104,0.6040851770491528,0.0,0.39591482295084723,otf_01,batch_missing
0,675904,0.687739179126053,0.0,0.3122608208739471,otf_02,batch_missing
9,54936,0.20504777557294301,0.0,0.794952224427057,otf_02,batch_missing
0,724992,0.9336004449382191,0.0,0.06639955506178086,otf_03,batch_missing
9,18432,0.4693535823108951,0.19696810959704708,0.33367830809205773,otf_03,batch_missing
9,18624,1.0,0.0,0.0,otf_04,batch_missing
0,732544,1.0,0.0,0.0,otf_04,batch_missing
9,18360,0.9756691289496876,0.024330871050312355,0.0,otf_05,batch_missing
0,722160,0.9134057479683608,0.06893000350711305,0.017664248524526065,otf_05,batch_missing
