clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
batch_missing,base_ensemble,q00_q50,366872,462292.2883653641,281481.3034167845,283650.9440988372,0.007648981000030419
batch_missing,base_ensemble,q50_q90,322344,810019.7934207916,405736.7663138612,406586.32542011817,0.0020894925705609024
batch_missing,base_ensemble,q90_q99,59048,236346.1844844818,99100.79559390077,99408.65191820297,0.0030968765631740336
batch_missing,base_ensemble,q99_q100,3872,21331.52445602417,11158.652198817625,11231.27257488103,0.006465908077578186
batch_missing,batch_missing_clock_simplex,q00_q50,366872,462292.2883653641,281475.3203108938,283650.9440988372,0.007670074199313426
batch_missing,batch_missing_clock_simplex,q50_q90,322344,810019.7934207916,405741.3329308544,406586.32542011817,0.002078260965591161
batch_missing,batch_missing_clock_simplex,q90_q99,59048,236346.1844844818,99106.1112847083,99408.65191820297,0.003043403442827275
batch_missing,batch_missing_clock_simplex,q99_q100,3872,21331.52445602417,11159.016371418791,11231.27257488103,0.006433483203305168
batch_missing,clock_blend,q00_q50,366872,462292.2883653641,281475.3203108938,283650.9440988372,0.007670074199313426
batch_missing,clock_blend,q50_q90,322344,810019.7934207916,405741.3329308544,406586.32542011817,0.002078260965591161
batch_missing,clock_blend,q90_q99,59048,236346.1844844818,99106.1112847083,99408.65191820297,0.003043403442827275
batch_missing,clock_blend,q99_q100,3872,21331.52445602417,11159.016371418791,11231.27257488103,0.006433483203305168
batch_missing,clock_weight_abs_blend,q00_q50,366872,462292.2883653641,281479.4045302998,283650.9440988372,0.007655675447992616
batch_missing,clock_weight_abs_blend,q50_q90,322344,810019.7934207916,405739.71589862136,406586.32542011817,0.002082238060077457
batch_missing,clock_weight_abs_blend,q90_q99,59048,236346.1844844818,99106.08775556104,99408.65191820297,0.003043640133968406
batch_missing,clock_weight_abs_blend,q99_q100,3872,21331.52445602417,11158.439003315232,11231.27257488103,0.006484890387994935
batch_missing,clock_weight_abs_shrink,q00_q50,366872,462292.2883653641,281513.1918867129,283650.9440988372,0.00753655948128773
batch_missing,clock_weight_abs_shrink,q50_q90,322344,810019.7934207916,405742.65930745366,406586.32542011817,0.0020749987393028357
batch_missing,clock_weight_abs_shrink,q90_q99,59048,236346.1844844818,99088.38111957654,99408.65191820297,0.0032217598010478854
batch_missing,clock_weight_abs_shrink,q99_q100,3872,21331.52445602417,11166.249701394643,11231.27257488103,0.005789448439868838
batch_missing,clock_weight_blend,q00_q50,366872,462292.2883653641,281481.0064672914,283650.9440988372,0.007650027883530419
batch_missing,clock_weight_blend,q50_q90,322344,810019.7934207916,405736.7663138612,406586.32542011817,0.0020894925705609024
batch_missing,clock_weight_blend,q90_q99,59048,236346.1844844818,99106.1112847083,99408.65191820297,0.003043403442827275
batch_missing,clock_weight_blend,q99_q100,3872,21331.52445602417,11159.016371418791,11231.27257488103,0.006433483203305168
batch_missing,clock_weight_delta_blend,q00_q50,366872,462292.2883653641,281479.91204265144,283650.9440988372,0.007653886233600082
batch_missing,clock_weight_delta_blend,q50_q90,322344,810019.7934207916,405737.1436584387,406586.32542011817,0.0020885644907069345
batch_missing,clock_weight_delta_blend,q90_q99,59048,236346.1844844818,99106.1112847083,99408.65191820297,0.003043403442827275
batch_missing,clock_weight_delta_blend,q99_q100,3872,21331.52445602417,11158.708701931097,11231.27257488103,0.006460877203908644
batch_missing,clock_weight_disagreement_blend,q00_q50,366872,462292.2883653641,281478.2084167206,283650.9440988372,0.007659892298329529
batch_missing,clock_weight_disagreement_blend,q50_q90,322344,810019.7934207916,405740.334668246,406586.32542011817,0.002080716194766352
batch_missing,clock_weight_disagreement_blend,q90_q99,59048,236346.1844844818,99106.1112847083,99408.65191820297,0.003043403442827275
batch_missing,clock_weight_disagreement_blend,q99_q100,3872,21331.52445602417,11158.18528150706,11231.27257488103,0.006507481043370955
batch_missing,clock_weight_disagreement_shrink,q00_q50,366872,462292.2883653641,281576.64317951363,283650.9440988372,0.007312864499406713
batch_missing,clock_weight_disagreement_shrink,q50_q90,322344,810019.7934207916,405732.0526323975,406586.32542011817,0.0021010858809330513
batch_missing,clock_weight_disagreement_shrink,q90_q99,59048,236346.1844844818,99111.7263393222,99408.65191820297,0.0029869188762875476
