clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
batch_missing,base_ensemble,q00_q50,453024,605298.7242023945,472769.6771876392,474229.7401985734,0.003078809461259935
batch_missing,base_ensemble,q50_q90,251680,680485.4715518951,459318.4244576385,460289.8974085228,0.002110567614787451
batch_missing,base_ensemble,q90_q99,38720,174182.0919933319,149171.10331395944,149682.30874310771,0.0034152695361322483
batch_missing,base_ensemble,q99_q100,3872,24758.774772644043,17001.501690931782,17002.115008727065,0.00003607302944186319
batch_missing,batch_missing_clock_simplex,q00_q50,453024,605298.7242023945,472783.81833470456,474229.7401985734,0.003048990270545615
batch_missing,batch_missing_clock_simplex,q50_q90,251680,680485.4715518951,459265.8548114859,460289.8974085228,0.002224777477851103
batch_missing,batch_missing_clock_simplex,q90_q99,38720,174182.0919933319,149117.3137389111,149682.30874310771,0.0037746278029843205
batch_missing,batch_missing_clock_simplex,q99_q100,3872,24758.774772644043,16973.7562878877,17002.115008727065,0.0016679525355998148
batch_missing,clock_blend,q00_q50,453024,605298.7242023945,472783.81833470456,474229.7401985734,0.003048990270545615
batch_missing,clock_blend,q50_q90,251680,680485.4715518951,459265.8548114859,460289.8974085228,0.002224777477851103
batch_missing,clock_blend,q90_q99,38720,174182.0919933319,149117.3137389111,149682.30874310771,0.0037746278029843205
batch_missing,clock_blend,q99_q100,3872,24758.774772644043,16973.7562878877,17002.115008727065,0.0016679525355998148
batch_missing,clock_weight_abs_blend,q00_q50,453024,605298.7242023945,472767.1358865722,474229.7401985734,0.003084168258592923
batch_missing,clock_weight_abs_blend,q50_q90,251680,680485.4715518951,459335.75415424595,460289.8974085228,0.0020729180884672127
batch_missing,clock_weight_abs_blend,q90_q99,38720,174182.0919933319,149173.98731067192,149682.30874310771,0.0033960020840418936
batch_missing,clock_weight_abs_blend,q99_q100,3872,24758.774772644043,16976.246236062296,17002.115008727065,0.0015215032160111885
batch_missing,clock_weight_abs_shrink,q00_q50,453024,605298.7242023945,472914.67470549326,474229.7401985734,0.0027730557187946037
batch_missing,clock_weight_abs_shrink,q50_q90,251680,680485.4715518951,459236.2786126729,460289.8974085228,0.002289033067599089
batch_missing,clock_weight_abs_shrink,q90_q99,38720,174182.0919933319,149200.47712673718,149682.30874310771,0.0032190284905176947
batch_missing,clock_weight_abs_shrink,q99_q100,3872,24758.774772644043,16997.221795245667,17002.115008727065,0.000287800281252526
batch_missing,clock_weight_blend,q00_q50,453024,605298.7242023945,472770.25825256016,474229.7401985734,0.0030775841797735515
batch_missing,clock_weight_blend,q50_q90,251680,680485.4715518951,459356.9771044429,460289.8974085228,0.0020268102978847624
batch_missing,clock_weight_blend,q90_q99,38720,174182.0919933319,149185.34991227326,149682.30874310771,0.0033200906306660727
batch_missing,clock_weight_blend,q99_q100,3872,24758.774772644043,16976.246236062296,17002.115008727065,0.0015215032160111885
batch_missing,clock_weight_delta_blend,q00_q50,453024,605298.7242023945,472764.56589401467,474229.7401985734,0.0030895875571725906
batch_missing,clock_weight_delta_blend,q50_q90,251680,680485.4715518951,459352.1716967891,460289.8974085228,0.0020372502568776207
batch_missing,clock_weight_delta_blend,q90_q99,38720,174182.0919933319,149150.90645895706,149682.30874310771,0.0035502010131516215
batch_missing,clock_weight_delta_blend,q99_q100,3872,24758.774772644043,16977.87157537153,17002.115008727065,0.0014259069147039005
batch_missing,clock_weight_disagreement_blend,q00_q50,453024,605298.7242023945,472764.6356596196,474229.7401985734,0.0030894404436556666
batch_missing,clock_weight_disagreement_blend,q50_q90,251680,680485.4715518951,459319.65901987493,460289.8974085228,0.002107885474155302
batch_missing,clock_weight_disagreement_blend,q90_q99,38720,174182.0919933319,149164.52025430795,149682.30874310771,0.0034592497480007145
batch_missing,clock_weight_disagreement_blend,q99_q100,3872,24758.774772644043,16971.314908280445,17002.115008727065,0.0018115452360374373
batch_missing,clock_weight_disagreement_shrink,q00_q50,453024,605298.7242023945,472951.2506052109,474229.7401985734,0.0026959287556009848
batch_missing,clock_weight_disagreement_shrink,q50_q90,251680,680485.4715518951,459421.6971875094,460289.8974085228,0.0018862030774550176
batch_missing,clock_weight_disagreement_shrink,q90_q99,38720,174182.0919933319,149234.5676543828,149682.30874310771,0.0029912759395859245
batch_missing,clock_weight_disagreement_shrink,q99_q100,3872,24758.774772644043,17012.16474707432,17002.115008727065,-0.000591087540702695
batch_missing,clock_weight_shrink,q00_q50,453024,605298.7242023945,472965.4294001869,474229.7401985734,0.002666030177392642
batch_missing,clock_weight_shrink,q50_q90,251680,680485.4715518951,459321.7712587465,460289.8974085228,0.002103296542520061
batch_missing,clock_weight_shrink,q90_q99,38720,174182.0919933319,149158.82569309702,149682.30874310771,0.003497294065052947
batch_missing,clock_weight_shrink,q99_q100,3872,24758.774772644043,17001.501690931782,17002.115008727065,0.00003607302944186319
batch_missing,global_blend,q00_q50,453024,605298.7242023945,472783.81833470456,474229.7401985734,0.003048990270545615
batch_missing,global_blend,q50_q90,251680,680485.4715518951,459265.8548114859,460289.8974085228,0.002224777477851103
batch_missing,global_blend,q90_q99,38720,174182.0919933319,149117.3137389111,149682.30874310771,0.0037746278029843205
batch_missing,global_blend,q99_q100,3872,24758.774772644043,16973.7562878877,17002.115008727065,0.0016679525355998148
batch_missing,group_select_clock_blend,q00_q50,453024,605298.7242023945,472730.70156935457,474229.7401985734,0.003160996669232752
batch_missing,group_select_clock_blend,q50_q90,251680,680485.4715518951,459173.0459835364,460289.8974085228,0.002426408729095164
