strategy,folds,mean_r2,std_r2,min_r2,max_r2,global_r2,validation_rows,selected_folds
group_select_clock_blend,2,0.002039243586050621,0.0028853078031685787,-9.771273803416136e-7,0.004079464299481583,0.002106381947871494,752136,0
group_select_clock_weight_shrink,2,0.0020337023826547673,0.0023666751931989455,0.00036021030467781046,0.003707194460631724,0.0020887726580891552,752136,0
group_select_clock_weight_abs_blend,2,0.0020108511637735305,0.0029690187195238965,-0.00008856210627161687,0.004110264433818678,0.0020799373988107384,752136,0
group_select_clock_weight_abs_shrink,2,0.0020212360442446453,0.002385860516587528,0.0003341778940003648,0.003708294194488926,0.0020767527438635414,752136,0
group_select_clock_weight_disagreement_shrink,2,0.0019970326293251572,0.002418534055686556,0.0002868707980185903,0.003707194460631724,0.0020533096110489923,752136,0
clock_weight_abs_blend,2,0.0019720396719751787,0.0030774325976196085,-0.0002040337864461783,0.004148113130396536,0.0020436485945973804,752136,1
clock_blend,2,0.001947149892663369,0.0029939993464911455,-0.00016992734810861165,0.00406422713343535,0.0020168174030744668,752136,0
global_blend,2,0.001947149892663369,0.0029939993464911455,-0.00016992734810861165,0.00406422713343535,0.0020168174030744668,752136,0
batch_missing_clock_simplex,2,0.001947149892663369,0.0029939993464911455,-0.00016992734810861165,0.00406422713343535,0.0020168174030744668,752136,0
clock_weight_delta_blend,2,0.0019299372187849828,0.002943331246225361,-0.00015131226469922154,0.004011186702269187,0.0019984257308083286,752136,0
group_select_clock_weight_blend,2,0.0019289731858681547,0.0027752697309540433,-0.000033438860511214585,0.003891385232247524,0.001993551066655219,752136,0
group_select_clock_weight_delta_blend,2,0.001919339401142528,0.0028104533533909034,-0.00006795122324865233,0.003906630025533708,0.0019847359712809043,752136,0
group_select_clock_weight_disagreement_blend,2,0.0019158314129790188,0.00280360072876387,-0.00006661367406946006,0.0038982765000274977,0.001981068529075314,752136,0
clock_weight_blend,2,0.0018996759736999436,0.00290465639434277,-0.00015422625975669568,0.003953578207156583,0.0019672645587911486,752136,0
clock_weight_shrink,2,0.0019136560106424727,0.0021969039857854724,0.00036021030467781046,0.003467101716607135,0.0019647758719347763,752136,1
clock_weight_abs_shrink,2,0.001904769367956194,0.0022275151787051373,0.00032967827989782705,0.0034798604560145607,0.001956601522523971,752136,0
clock_weight_disagreement_blend,2,0.0018542402694164961,0.0028708999023629774,-0.00017579251965216258,0.003884273058485155,0.0019210433731217114,752136,0
clock_weight_disagreement_shrink,2,0.0018565727790043063,0.00217881915037436,0.00031591498279548436,0.003397230575213128,0.0019072718234179886,752136,0
base_ensemble,2,0.0017903389019336968,0.002710843128221007,-0.00012651665676433055,0.003707194460631724,0.0018534176370974542,752136,0
