fold,train_start,train_end,selection_start,selection_end,valid_start,valid_end,clock,strategy,kind,group_columns,selected_strategy,selected_by_selection,selection_base_r2,selection_strategy_r2,selection_strategy_delta_r2,selection_selected_delta_r2,selection_min_delta,fallback_blend_weight,fallback_alpha,parameter_rows,group_gate_parameter_rows,group_gate_active_groups,group_gate_selection_rows,group_gate_selection_active_rows,group_gate_mean_delta_r2
otf_02,1259,1318,1319,1328,1329,1338,batch_missing,clock_blend,blend,clock_bucket,clock_weight_abs_blend,false,0.003707194460631724,0.00406422713343535,0.0003570326728036255,0.00044091866976481153,0.0,0.9999999999999953,,2,,,,,
otf_02,1259,1318,1319,1328,1329,1338,batch_missing,clock_weight_blend,blend,"clock_bucket,weight_bucket",clock_weight_abs_blend,false,0.003707194460631724,0.003953578207156583,0.0002463837465248586,0.00044091866976481153,0.0,0.9999999999999953,,8,,,,,
otf_02,1259,1318,1319,1328,1329,1338,batch_missing,clock_weight_abs_blend,blend,"clock_bucket,weight_bucket,ensemble_abs_bucket",clock_weight_abs_blend,true,0.003707194460631724,0.004148113130396536,0.00044091866976481153,0.00044091866976481153,0.0,0.9999999999999953,,32,,,,,
otf_02,1259,1318,1319,1328,1329,1338,batch_missing,clock_weight_disagreement_blend,blend,"clock_bucket,weight_bucket,disagreement_bucket",clock_weight_abs_blend,false,0.003707194460631724,0.003884273058485155,0.0001770785978534306,0.00044091866976481153,0.0,0.9999999999999953,,32,,,,,
otf_02,1259,1318,1319,1328,1329,1338,batch_missing,clock_weight_delta_blend,blend,"clock_bucket,weight_bucket,candidate_delta_bucket",clock_weight_abs_blend,false,0.003707194460631724,0.004011186702269187,0.00030399224163746297,0.00044091866976481153,0.0,0.9999999999999953,,31,,,,,
otf_02,1259,1318,1319,1328,1329,1338,batch_missing,clock_weight_shrink,shrink,"clock_bucket,weight_bucket",clock_weight_abs_blend,false,0.003707194460631724,0.003467101716607135,-0.00024009274402458924,0.00044091866976481153,0.0,,1.0,8,,,,,
otf_02,1259,1318,1319,1328,1329,1338,batch_missing,clock_weight_abs_shrink,shrink,"clock_bucket,weight_bucket,ensemble_abs_bucket",clock_weight_abs_blend,false,0.003707194460631724,0.0034798604560145607,-0.00022733400461716347,0.00044091866976481153,0.0,,1.0,32,,,,,
otf_02,1259,1318,1319,1328,1329,1338,batch_missing,clock_weight_disagreement_shrink,shrink,"clock_bucket,weight_bucket,disagreement_bucket",clock_weight_abs_blend,false,0.003707194460631724,0.003397230575213128,-0.000309963885418596,0.00044091866976481153,0.0,,1.0,32,,,,,
otf_02,1259,1318,1319,1328,1329,1338,batch_missing,group_select_clock_blend,group_selection,clock_bucket,clock_weight_abs_blend,false,0.003707194460631724,0.004079464299481583,0.0003722698388498591,0.00044091866976481153,0.0,,,2,2,1,374616,9288,0.0019939814065999015
otf_02,1259,1318,1319,1328,1329,1338,batch_missing,group_select_clock_weight_blend,group_selection,"clock_bucket,weight_bucket",clock_weight_abs_blend,false,0.003707194460631724,0.003891385232247524,0.00018419077161579978,0.00044091866976481153,0.0,,,8,8,2,374616,8760,0.008196034269324958
otf_02,1259,1318,1319,1328,1329,1338,batch_missing,group_select_clock_weight_abs_blend,group_selection,"clock_bucket,weight_bucket,ensemble_abs_bucket",clock_weight_abs_blend,false,0.003707194460631724,0.004110264433818678,0.0004030699731869536,0.00044091866976481153,0.0,,,30,30,9,374616,155146,0.0068533897512496255
otf_02,1259,1318,1319,1328,1329,1338,batch_missing,group_select_clock_weight_disagreement_blend,group_selection,"clock_bucket,weight_bucket,disagreement_bucket",clock_weight_abs_blend,false,0.003707194460631724,0.0038982765000274977,0.0001910820393957735,0.00044091866976481153,0.0,,,30,30,5,374616,12010,0.004255684295363423
otf_02,1259,1318,1319,1328,1329,1338,batch_missing,group_select_clock_weight_delta_blend,group_selection,"clock_bucket,weight_bucket,candidate_delta_bucket",clock_weight_abs_blend,false,0.003707194460631724,0.003906630025533708,0.0001994355649019841,0.00044091866976481153,0.0,,,27,27,4,374616,78525,0.004054300465804396
otf_02,1259,1318,1319,1328,1329,1338,batch_missing,group_select_clock_weight_shrink,group_selection,"clock_bucket,weight_bucket",clock_weight_abs_blend,false,0.003707194460631724,0.003707194460631724,0.0,0.00044091866976481153,0.0,,,8,8,0,374616,0,-0.000670337582172125
otf_02,1259,1318,1319,1328,1329,1338,batch_missing,group_select_clock_weight_abs_shrink,group_selection,"clock_bucket,weight_bucket,ensemble_abs_bucket",clock_weight_abs_blend,false,0.003707194460631724,0.003708294194488926,1.0997338572016346e-6,0.00044091866976481153,0.0,,,30,30,1,374616,2210,-0.0016360516854590675
otf_02,1259,1318,1319,1328,1329,1338,batch_missing,group_select_clock_weight_disagreement_shrink,group_selection,"clock_bucket,weight_bucket,disagreement_bucket",clock_weight_abs_blend,false,0.003707194460631724,0.003707194460631724,0.0,0.00044091866976481153,0.0,,,30,30,0,374616,0,-0.0008540868875043995
