variant,tail_buckets,folds,validation_rows,mean_r2,std_r2,min_r2,max_r2,global_r2,min_delta_r2,max_delta_r2,numerator_improvement
q90_q100,"q90_q99,q99_q100",5,3716152,0.004204123372234902,0.0013610895480588223,0.0025833644700522518,0.006226785909848376,0.0042362692787261125,-0.00013640444000839747,0.0002846533905912496,331.9846043350408
q90_q99_only,q90_q99,5,3716152,0.004167786464464873,0.001388654084005825,0.002460182983796244,0.00621019217829033,0.004207198401162904,-0.00025958592626440513,0.0002442533177844375,173.13468692533206
q99_only,q99_q100,5,3716152,0.0041940335464698995,0.0012632092386119953,0.002842950396316546,0.006203159772866229,0.004204584167599723,0.0,0.00012318148625589664,158.84991740970872
