strategy,folds,mean_r2,std_r2,min_r2,max_r2,global_r2,validation_rows,selected_folds
group_select_clock_weight_abs_shrink,2,0.0020212360442446453,0.002385860516587528,0.0003341778940003648,0.003708294194488926,0.0020767527438635414,752136,2
batch_missing_clock_simplex,2,0.001947149892663369,0.0029939993464911455,-0.00016992734810861165,0.00406422713343535,0.0020168174030744668,752136,0
clock_weight_abs_shrink,2,0.001904769367956194,0.0022275151787051373,0.00032967827989782705,0.0034798604560145607,0.001956601522523971,752136,0
base_ensemble,2,0.0017903389019336968,0.002710843128221007,-0.00012651665676433055,0.003707194460631724,0.0018534176370974542,752136,0
