symbol_id,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
12,3079,10051.08,5921.095137362855,5984.9233,0.010664832088319032
18,2884,5836.1426,5232.916730522344,5275.679,0.00810558547660345
5,2454,9009.975,5435.24955913245,5479.253,0.008030906972122609
19,2754,15438.008,7040.895797813925,7094.576,0.0075663961821820225
36,2134,4011.431,2768.386521443922,2788.381,0.007170677654676938
17,2678,10173.888,4039.8560191750507,4067.9517,0.006906581820129154
8,3256,9923.311,5717.960868627526,5752.1416,0.005942262082993421
11,2645,8875.392,3943.205179696004,3966.5225,0.005878519905313961
38,2030,8190.314,2946.418572711137,2963.6099,0.005800794086668004
23,2942,6651.341,4617.07522700833,4640.693,0.005089249545586316
29,3149,6397.946,6261.400151435932,6284.66,0.003701075990710012
15,2672,5884.6562,4323.006607054175,4338.6562,0.0036070253193773993
34,2239,6785.553,3388.0741859914797,3399.49,0.003358093206830781
32,2160,4569.6284,3397.0772613400695,3408.2615,0.0032815009507413118
35,3592,5238.0576,3692.0103706222635,3703.2554,0.0030365176971755004
7,2445,9239.912,4767.978796418669,4781.3657,0.0027998122323393826
6,3214,3319.2278,2478.525291010653,2485.2266,0.0026964428879296953
0,3809,14445.022,7059.165162693846,7076.495,0.0024489460116440265
16,3009,11292.656,4461.630530026003,4472.181,0.00235916702797645
31,3562,5406.512,4575.22272311066,4585.967,0.002342815428071021
33,3245,6738.6953,3942.646554962248,3951.2395,0.002174747186706738
2,3622,9678.279,7569.182050485082,7584.556,0.002027027231371603
25,2748,8914.155,6658.452288591079,6671.153,0.001903800401512279
20,2900,4175.5435,3480.679723630306,3487.1985,0.001869340883054571
4,3335,7435.1333,6410.6173331193895,6422.3193,0.0018220836127891271
14,3031,4992.1323,3824.833714150253,3831.6074,0.0017678501419731152
26,2985,4885.752,4280.474321283803,4287.959,0.001745507155845094
21,2813,3189.7102,3115.1718522550764,3120.2466,0.0016263874161093206
24,2698,4576.215,3727.6187010845056,3733.5793,0.001596496034155348
10,3005,8446.893,3113.243473411145,3117.6265,0.0014058744631630926
22,2898,4452.471,2708.1937288582553,2711.1912,0.001105577981003636
27,3006,8355.68,5024.908656115847,5029.822,0.000976798273456314
30,2358,5557.432,5052.3700402695795,5056.5493,0.0008265075400551991
37,3404,4648.893,4937.651887929195,4940.573,0.0005912986439223777
9,2522,4669.558,2777.4764376181156,2778.977,0.0005399876054077435
13,2628,8511.472,5153.223362622059,5155.699,0.00048021733287650914
3,2001,4636.435,2273.8387233003996,2273.5747,-0.00011612385919534951
28,2350,5100.238,3009.053986238216,3006.0442,-0.001001248350124495
1,2030,5797.688,3374.9594003249385,3367.8518,-0.0021104235258508908
