fold,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_02,21829,61418.89,32087.64627417389,32352.73,0.008193564831634803
rw_01,21587,58441.4,41534.56433440067,41645.49,0.0026635285460027136
rw_04,22206,59943.28,44371.93040130997,44480.9,0.0024497714753478617
rw_03,22303,49300.97,29062.52152831912,29128.46,0.002263745047236254
rw_05,22361,46397.887,25445.084391243137,25469.482,0.0009579319370427442
