clock_bucket,_simplex_rows,_simplex_weight_ridge_calibrated_prediction,_simplex_weight_xgboost_prediction,_simplex_weight_lightgbm_prediction,fold,clock
19,55368,0.0,0.6739904539817362,0.3260095460182639,otf_01,batch_missing
0,2177808,0.25194064874809063,0.7480593512519094,0.0,otf_01,batch_missing
0,2134384,0.21106484107970808,0.6036412774447788,0.18529388147551323,otf_02,batch_missing
19,92016,0.09921137163944294,0.7008623729166836,0.1999262554438734,otf_02,batch_missing
19,10728,0.059582495760652686,0.0,0.9404175042393473,otf_03,batch_missing
0,2090016,0.30305978209964063,0.6969402179003593,0.0,otf_03,batch_missing
18,117912,0.03369267850650726,0.394653989180009,0.5716533323134838,otf_03,batch_missing
15,257712,0.7807148755017319,0.05000899389373002,0.169276130604538,otf_04,batch_missing
19,19252,0.0,0.6502939424929094,0.3497060575070907,otf_04,batch_missing
17,107616,0.7910126404402567,0.14198473790866262,0.06700262165108078,otf_04,batch_missing
18,144580,0.0,0.05203746275793576,0.9479625372420643,otf_04,batch_missing
0,1700144,0.28616965868213645,0.40467848863828954,0.309151852679574,otf_04,batch_missing
0,1119584,0.48914428135591526,0.0,0.5108557186440847,otf_05,batch_missing
18,103840,0.36108482888480065,0.0,0.6389151711151994,otf_05,batch_missing
16,215232,1.0,0.0,0.0,otf_05,batch_missing
10,699504,0.5354374310356989,0.008326021987723815,0.4562365469765774,otf_05,batch_missing
19,92112,0.10507723756899068,0.32074037973260516,0.5741823826984043,otf_05,batch_missing
