strategy,folds,mean_r2,std_r2,min_r2,max_r2,global_r2,validation_rows
batch_missing_clock_simplex,5,0.0066749085262235,0.0021645669185586104,0.004331753934672111,0.009492944325912966,0.0062752408924722225,3729704
batch_missing_tail_frozen_q99_q100,5,0.006612026301064278,0.0024722018473096975,0.003044771264494983,0.008971121518197012,0.006094344287810083,3729704
base_ensemble,5,0.005699275814039217,0.004176047601983411,-0.0011912880600259967,0.008967450093219975,0.004949589724244308,3729704
