symbol_id,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
21,288464,328235.2,320206.25,316545.99417234404,316261.03174641845,0.011430931868618877,0.012320865859368979,0.0008899339907500065
14,286528,467584.72,359262.6,356980.8088544724,356706.37370267656,0.006351301068419635,0.007115185638007837,0.0007638845695881932
0,281688,1064974.1,493079.5,484022.0002375734,483926.3532267286,0.018369248290441176,0.018563227173856056,0.00019397888341491165
18,270072,539995.7,398760.06,393279.5079765351,393216.4075251585,0.0137439905318123,0.013902232184652474,0.00015824165284014213
27,264264,746005.1,474612.75,466645.87471181795,466571.546413741,0.016786054079208856,0.01694266238372022,0.00015660830451126535
8,286528,876688.2,476599.2,467882.0029830441,467818.558850698,0.01829038895907875,0.018423507382294924,0.00013311842321610717
13,280720,909394.1,538370.44,527739.9392702135,527669.9559155568,0.019745694580019624,0.019875685660105114,0.00012999108008549274
35,275880,402812.66,257976.62,254905.363851991,254872.5515487877,0.011905191596366604,0.012032382589749258,0.00012719099338273185
30,284592,674362.8,531418.8,525477.0376749702,525413.8938233216,0.011180964401838467,0.011299785659504513,0.00011882125766608403
24,274912,466598.06,389545.7,381072.91310958215,381050.4070578917,0.021750399663756692,0.021808174791071888,0.00005777512731528855
10,286528,810965.94,340969.44,337481.5672286008,337463.5693453936,0.01022927537720797,0.010282059824222145,0.000052784447014154176
2,287496,765934.4,588981.8,583125.552553361,583100.4579736566,0.009943023404714979,0.00998563011883058,0.000042606714115565494
25,274912,904157.0,720474.3,701971.7521117517,701942.4326319662,0.025681082680166112,0.025721777371533694,0.000040694691367654194
1,282656,822478.0,447534.78,442617.5129949554,442602.76194685645,0.010987454966763233,0.011020415640920711,0.00003296067415756541
12,286528,928680.7,564242.4,552899.1589423459,552887.0158474032,0.020103445895310768,0.020124966956969192,0.000021521061658426804
17,286528,1085255.0,480583.34,474065.81253190624,474057.85311764927,0.013561708500418157,0.013578270485681498,0.000016561985263288615
6,287496,302022.12,256830.9,255124.4884540877,255120.70104362522,0.006644129481252037,0.006658876189573837,0.000014746708321747683
7,283624,1066091.5,507718.84,504414.37500836805,504407.9189013513,0.006508461882614447,0.006521177792406352,0.000012715909791893041
38,286528,1156229.4,509203.34,502394.74799039477,502390.06025712786,0.013371074332434119,0.013380280346739437,9.206014305380476e-6
19,288464,1636763.0,688506.0,681127.1179765308,681122.389395703,0.010717237066153684,0.010724104952312685,6.867886159052748e-6
33,281688,584923.44,355676.25,351863.093941911,351863.66991092573,0.01072086218320456,0.010719242820048436,-1.619363156028132e-6
9,276848,532919.75,338727.5,334826.27240874403,334828.00160828076,0.011517304001759432,0.011512199014603874,-5.104987155535969e-6
5,283624,1059076.0,691088.5,683962.6596138104,683968.4847466336,0.010311038870115197,0.010302609945566199,-8.428924549026594e-6
4,265232,599140.0,483923.2,481227.4918238478,481231.9308966855,0.005570503224031187,0.00556133013013449,-9.173093896650409e-6
16,280720,1050236.9,488010.0,482941.4588041923,482947.91359097627,0.010386142078661731,0.010372915327603427,-0.000013226751058292634
23,287496,651026.06,433401.6,429151.0833395369,429159.9808359574,0.009807325288505808,0.009786795838340412,-0.000020529450165370187
11,288464,979687.1,389823.9,383137.86786770215,383148.9915256822,0.01715143241628181,0.01712289733210226,-0.000028535084179590822
26,288464,458378.66,401134.25,396733.4714298268,396748.8015782238,0.010970837245069975,0.010932620243163438,-0.00003821700190650274
29,274912,570074.0,561428.06,552666.5526694127,552690.544547312,0.015605756847231533,0.015563023183737035,-0.00004273366349455032
34,286528,870197.6,499852.56,495071.2635317728,495093.9934213814,0.009565418539246084,0.00951994535112266,-0.00004547318812348866
32,276848,586358.5,416650.34,402224.3321350637,402246.370993193,0.0346237842625956,0.03457088893091065,-0.00005289533168492353
22,288464,431882.97,258559.66,256153.2282943654,256167.24868441065,0.009307051187087856,0.009252826215378929,-0.000054224971709007835
28,289432,632010.6,374461.2,370247.8728899367,370270.50389917864,0.011251672404802404,0.011191236210084776,-0.00006043619471755082
20,285560,404927.75,349296.84,345041.98641968967,345065.6415128019,0.012181207492832802,0.012113485457734163,-0.00006772203509858359
37,286528,392425.4,405427.2,401806.5849481797,401839.80906221905,0.008930339808107424,0.008848391396496957,-0.00008194841161048368
31,285560,430015.97,378791.7,371369.36105318577,371406.5207309122,0.019594744794430685,0.019496644231633997,-0.00009810056279666761
15,286528,639493.56,460915.38,454838.8732737163,454903.24992023973,0.013183551809881955,0.01304388051659211,-0.0001396712932898411
3,286528,674425.56,388358.47,383362.6045127018,383431.8853617504,0.012864053804152342,0.012685659731089927,-0.0001783940730623678
36,284592,532513.56,374484.72,367805.03901664226,367903.8404400668,0.017836988797978126,0.01757315580699692,-0.0002638329909811943
