fold,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
rw_02,2182840,6223295.5,3418647.0,3327841.237382868,3327547.274259493,0.026561900838879327,0.026647888986639057,0.00008598814775980632
rw_04,2220592,6119998.5,4382271.5,4333396.768694897,4333155.487323313,0.011152830513833534,0.011207889031222051,0.00005505851738856484
rw_01,2158640,6095643.0,4203448.0,4144940.6339878957,4144768.251320496,0.01391889848812311,0.01395990831324756,0.00004100982512439246
rw_03,2230272,4993164.5,2903734.5,2878722.9282745128,2878698.976342172,0.00861358768354592,0.00862183634827085,8.248664724981008e-6
rw_05,2236080,4602840.0,2486787.5,2469303.058268911,2469349.634293068,0.007030935184887621,0.00701220579037487,-0.000018729394512798186
