baseline_abs_bucket,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
q99_q100,110284,301314.8,839216.75,698814.6610625102,698128.4828363685,0.1673013425166857,0.16811898375912004,0.0008176412424343589
q00_q50,5514213,13829473.0,7204728.0,7199762.42528727,7199762.417742292,0.0006892105729362497,0.0006892116201621112,1.0472258759028383e-9
q50_q90,4411369,11269508.0,6802286.0,6764672.596778653,6764672.695694453,0.005529523930829616,0.0055295093892768765,-1.454155271510671e-8
q90_q99,992558,2634645.0,2548657.5,2490954.9434806514,2490956.0272654286,0.0226403730275051,0.02263994778999201,-4.252375131634743e-7
