time_bucket,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
9,774724,1969396.8,1638970.2,1599197.172907839,1598790.1661638573,0.024267113507497107,0.02451544427737029,0.00024833076987317845
4,1139300,2896171.5,1129272.1,1119556.176293933,1119317.6266210922,0.008603726675770806,0.008814968649746624,0.0002112419739758135
1,1139300,2896171.5,2222077.8,2189252.8660169723,2188929.5088926814,0.014772158167295268,0.014917678333856044,0.00014552016656073114
3,1139300,2896171.5,1121822.8,1117863.3386385175,1117796.4840611645,0.0035294447019214026,0.0035890393012937283,0.00005959459937230844
7,1139300,2896171.5,1418841.9,1399483.5225579122,1399459.8857414883,0.013643770164372904,0.013660429396694873,0.000016659232322031656
6,1139300,2896171.5,1271075.2,1258314.303448297,1258296.109083868,0.010039489441481031,0.010053803593557453,0.000014314152076350997
5,1139300,2896171.5,1244095.1,1231543.0505089173,1231538.172514944,0.010089320534137358,0.01009324145133672,3.920917199321769e-6
8,1139300,2896171.5,1796426.9,1768337.590127063,1768341.6284366064,0.015636197200031843,0.015633949232358058,-2.2479676738267193e-6
2,1139300,2896171.5,1417396.8,1408580.7524140007,1408636.5703284957,0.006219851700661305,0.00618047111474207,-0.000039380585919229597
0,1139300,2896171.5,4134910.0,4062075.853695632,4062413.471694344,0.01761444536987944,0.01753279474176117,-0.000081650628118201
