candidate_abs_bucket,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
q99_q100,110284,301309.06,838863.75,698458.017268641,697771.8941676372,0.1673760878704783,0.16819400746827218,0.000817919597793822
q00_q50,5514213,13829473.0,7204731.0,7199764.873281795,7199764.865758886,0.0006892869030371562,0.0006892879471994684,1.0441623664663699e-9
q50_q90,4411369,11269510.0,6802364.5,6764747.02372224,6764747.123193757,0.005530058890222733,0.005530044267143208,-1.4623079505253669e-8
q90_q99,992558,2634648.2,2548929.2,2491234.7123364084,2491235.7404182632,0.02263481329016548,0.022634409951447942,-4.0333871754398453e-7
