weight_bucket,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
q90_q99,993168,4884975.0,2590502.0,2539957.641434011,2539658.137731329,0.019511414608438415,0.019627030694695846,0.00011561608625740389
q00_q50,5514696,8865476.0,6441205.0,6366031.905762432,6365689.634475501,0.011670657002465834,0.01172379477512342,0.00005313777265758331
q50_q90,4411176,13507191.0,7986314.0,7875865.377984211,7875823.493202878,0.013829736974502738,0.01383498154431717,5.244569814395795e-6
q99_q100,109384,777299.75,376867.53,372349.7014284305,372348.3581288332,0.011987845720178303,0.011991410101521827,3.5643813434170226e-6
