disagreement_bucket,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
q99_q100,110284,289457.16,879491.06,755227.0290809151,754539.4669304021,0.14129084275837633,0.14207261551290395,0.0007817727545276275
q00_q50,5514213,13867938.0,6172486.0,6151388.546516238,6151388.567657616,0.0034179832054317405,0.003417979780332314,-3.4250994184506642e-9
q50_q90,4411369,11261337.0,7050468.5,7009813.535038358,7009813.8376632305,0.005766278504987676,0.00576623558232614,-4.2922661506202666e-8
q90_q99,992558,2616209.0,3292443.0,3237775.515973574,3237777.751287294,0.016603927243820427,0.016603248321293895,-6.789225265463443e-7
