fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,tabm_prediction,strong_base,2158640,6095643.0,4147925.25,4203448.0,0.013208866119384766
rw_02,tabm_prediction,strong_base,2182840,6223295.5,3338497.75,3418647.0,0.023444712162017822
rw_03,tabm_prediction,strong_base,2230272,4993164.5,2881751.25,2903734.5,0.00757068395614624
rw_04,tabm_prediction,strong_base,2220592,6119998.5,4334368.5,4382271.5,0.010931074619293213
rw_05,tabm_prediction,strong_base,2236080,4602840.0,2471188.5,2486787.5,0.006272733211517334
rw_01,tree_prediction,strong_base,2158640,6095643.0,4162701.1851498033,4203448.0,0.009693664546390646
rw_02,tree_prediction,strong_base,2182840,6223295.5,3351374.168595854,3418647.0,0.019678203512718873
rw_03,tree_prediction,strong_base,2230272,4993164.5,2887753.1093600383,2903734.5,0.005503736874001963
rw_04,tree_prediction,strong_base,2220592,6119998.5,4361593.238617026,4382271.5,0.004718617133368741
rw_05,tree_prediction,strong_base,2236080,4602840.0,2475836.1080217296,2486787.5,0.004403831038345851
rw_01,xgboost_prediction,strong_base,2158640,6095643.0,4162683.375420803,4203448.0,0.009697901479736815
rw_02,xgboost_prediction,strong_base,2182840,6223295.5,3351473.1081860904,3418647.0,0.019649262358444664
rw_03,xgboost_prediction,strong_base,2230272,4993164.5,2888275.487943123,2903734.5,0.005323837994443692
rw_04,xgboost_prediction,strong_base,2220592,6119998.5,4361710.680020495,4382271.5,0.004691817925818742
rw_05,xgboost_prediction,strong_base,2236080,4602840.0,2478492.691618691,2486787.5,0.0033355517434878745
rw_01,lightgbm_prediction,strong_base,2158640,6095643.0,4163084.739857007,4203448.0,0.009602416907023237
rw_02,lightgbm_prediction,strong_base,2182840,6223295.5,3354266.910540395,3418647.0,0.01883203777974296
rw_03,lightgbm_prediction,strong_base,2230272,4993164.5,2887745.1874600607,2903734.5,0.005506465050416742
rw_04,lightgbm_prediction,strong_base,2220592,6119998.5,4360219.414291606,4382271.5,0.005032113073869082
rw_05,lightgbm_prediction,strong_base,2236080,4602840.0,2478136.1508826907,2486787.5,0.00347892576961617
rw_01,ridge_calibrated_prediction,strong_base,2158640,6095643.0,4180947.813582447,4203448.0,0.005352792854236066
rw_02,ridge_calibrated_prediction,strong_base,2182840,6223295.5,3391272.7558540874,3418647.0,0.008007332768171893
rw_03,ridge_calibrated_prediction,strong_base,2230272,4993164.5,2892246.4564347784,2903734.5,0.003956299573952604
rw_04,ridge_calibrated_prediction,strong_base,2220592,6119998.5,4369541.547625868,4382271.5,0.002904875331008694
rw_05,ridge_calibrated_prediction,strong_base,2236080,4602840.0,2477291.5202022335,2486787.5,0.003818573077822962
rw_01,baseline_prediction,strong_base,2158640,6095643.0,4147925.1602952615,4203448.0,0.013208879877838031
rw_02,baseline_prediction,strong_base,2182840,6223295.5,3335021.9482028084,3418647.0,0.024461446823024313
rw_03,baseline_prediction,strong_base,2230272,4993164.5,2881231.5525530926,2903734.5,0.007749657362581708
rw_04,baseline_prediction,strong_base,2220592,6119998.5,4333404.538540336,4382271.5,0.011151057496018635
rw_05,baseline_prediction,strong_base,2236080,4602840.0,2471325.431479606,2486787.5,0.0062176878886491815
rw_01,conservative_rls_prediction,strong_base,2158640,6095643.0,4144940.6339878957,4203448.0,0.01391889848812311
rw_02,conservative_rls_prediction,strong_base,2182840,6223295.5,3327841.2368419776,3418647.0,0.026561900997096877
rw_03,conservative_rls_prediction,strong_base,2230272,4993164.5,2878722.9283116185,2903734.5,0.008613587670767253
rw_04,conservative_rls_prediction,strong_base,2220592,6119998.5,4333396.768835589,4382271.5,0.01115283048172866
rw_05,conservative_rls_prediction,strong_base,2236080,4602840.0,2469303.0584499678,2486787.5,0.007030935112080194
rw_01,aggressive_rls_prediction,strong_base,2158640,6095643.0,4144596.290822216,4203448.0,0.014000817704366564
rw_02,aggressive_rls_prediction,strong_base,2182840,6223295.5,3327208.7319143782,3418647.0,0.026746917153371408
rw_03,aggressive_rls_prediction,strong_base,2230272,4993164.5,2878833.981666982,2903734.5,0.00857534266063853
rw_04,aggressive_rls_prediction,strong_base,2220592,6119998.5,4333597.918336822,4382271.5,0.011106929742526916
rw_05,aggressive_rls_prediction,strong_base,2236080,4602840.0,2469453.201321977,2486787.5,0.006970558874862753
rw_01,tabm_w010_tabm_prediction,strong_base,2158640,6095643.0,4155395.0,4203448.0,0.01143181324005127
rw_02,tabm_w010_tabm_prediction,strong_base,2182840,6223295.5,3342635.0,3418647.0,0.02223449945449829
rw_03,tabm_w010_tabm_prediction,strong_base,2230272,4993164.5,2875802.75,2903734.5,0.00961923599243164
rw_04,tabm_w010_tabm_prediction,strong_base,2220592,6119998.5,4337617.5,4382271.5,0.010189712047576904
rw_05,tabm_w010_tabm_prediction,strong_base,2236080,4602840.0,2470002.5,2486787.5,0.00674968957901001
rw_01,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2158640,6095643.0,4144740.346196574,4203448.0,0.013966546940375135
rw_02,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2182840,6223295.5,3327717.850393466,3418647.0,0.026597993184594326
rw_03,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2230272,4993164.5,2878711.7632090757,2903734.5,0.00861743275458704
rw_04,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2220592,6119998.5,4333319.981053283,4382271.5,0.011170352851647025
rw_05,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2236080,4602840.0,2469313.1699799034,2486787.5,0.00702686901076055
rw_01,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2158640,6095643.0,4144768.251320496,4203448.0,0.01395990831324756
rw_02,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2182840,6223295.5,3327547.2738647163,3418647.0,0.026647889102116684
rw_03,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2230272,4993164.5,2878698.976518211,2903734.5,0.00862183628764579
rw_04,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2220592,6119998.5,4333155.487279409,4382271.5,0.011207889041240704
rw_05,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2236080,4602840.0,2469349.6344831446,2486787.5,0.007012205713940345
rw_01,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2158640,6095643.0,4144487.7911314894,4203448.0,0.014026629773583599
rw_02,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2182840,6223295.5,3327123.2426283914,3418647.0,0.026771923913644358
rw_03,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2230272,4993164.5,2878824.376441709,2903734.5,0.008578650547524491
rw_04,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2220592,6119998.5,4333521.856513733,4382271.5,0.01112428645424346
rw_05,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2236080,4602840.0,2469470.435718719,2486787.5,0.006963628489077167
rw_01,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,2158640,6095643.0,4144856.244885141,4203448.0,0.013938974650063218
rw_02,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,2182840,6223295.5,3327098.48740041,3418647.0,0.026779165149133477
rw_03,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,2230272,4993164.5,2878820.0282005393,2903734.5,0.008580148012657718
rw_04,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,2220592,6119998.5,4333370.740115942,4382271.5,0.011158770031491128
rw_05,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,2236080,4602840.0,2469531.1988299307,2486787.5,0.00693919410889321
rw_01,strong_oof_ridge_stack_alpha10_ridge_stack,strong_stack,2158640,6095643.0,4144940.6339878957,4203448.0,0.01391889848812311
rw_02,strong_oof_ridge_stack_alpha10_ridge_stack,strong_stack,2182840,6223295.5,3326751.0589016904,3418647.0,0.02688079263472054
rw_03,strong_oof_ridge_stack_alpha10_ridge_stack,strong_stack,2230272,4993164.5,2879075.681199181,2903734.5,0.008492105184141008
rw_04,strong_oof_ridge_stack_alpha10_ridge_stack,strong_stack,2220592,6119998.5,4334710.432713827,4382271.5,0.01085306268362718
rw_05,strong_oof_ridge_stack_alpha10_ridge_stack,strong_stack,2236080,4602840.0,2469046.522529011,2486787.5,0.0071340946787729065
rw_01,strong_oof_ridge_stack_alpha100_ridge_stack,strong_stack,2158640,6095643.0,4144940.6339878957,4203448.0,0.01391889848812311
rw_02,strong_oof_ridge_stack_alpha100_ridge_stack,strong_stack,2182840,6223295.5,3325705.9713683715,3418647.0,0.02718649472485124
rw_03,strong_oof_ridge_stack_alpha100_ridge_stack,strong_stack,2230272,4993164.5,2878796.7500984357,2903734.5,0.008588164620961125
rw_04,strong_oof_ridge_stack_alpha100_ridge_stack,strong_stack,2220592,6119998.5,4334366.951456097,4382271.5,0.010931442413803727
rw_05,strong_oof_ridge_stack_alpha100_ridge_stack,strong_stack,2236080,4602840.0,2469026.5431281887,2486787.5,0.007142128899960798
rw_01,strong_oof_ridge_stack,strong_stack,2158640,6095643.0,4144940.6339878957,4203448.0,0.01391889848812311
rw_02,strong_oof_ridge_stack,strong_stack,2182840,6223295.5,3325627.896919219,3418647.0,0.027209332546115794
