fold,train_start,train_end,valid_start,valid_end,engine,feature_set,n_features,train_sample_rows,rows,numerator,denominator,weighted_zero_mean_r2
rw_01,1539,1658,1659,1678,xgboost,clock,81,222638,740520,957286.6550070762,960511.5364725835,0.0033574625010236447
rw_02,1559,1678,1679,1698,xgboost,clock,81,223096,752136,799949.3593855149,800877.1940120393,0.0011585229713889644
