strategy,folds,mean_r2,std_r2,min_r2,max_r2,global_r2,validation_rows,selected_folds
group_select_clock_weight_delta_blend,2,0.022236724529292817,0.01929692850989641,0.008591735523873045,0.03588171353471259,0.021946096307974394,706640,2
base_ensemble,2,0.021968999602812123,0.018936061772118942,0.008579181914779466,0.03535881729084478,0.021683806342714496,706640,0
clock_weight_delta_blend,2,0.020808509661956465,0.018123393130353178,0.007993335481374042,0.03362368384253889,0.020535555885554668,706640,0
batch_missing_clock_simplex,2,0.020503389409616823,0.018096269102919987,0.0077073948127655,0.03329938400646815,0.020230844144230042,706640,0
