candidate_id,source,candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
nonlinear/fixed_blend_1_w0p75_fixed_blend,nonlinear,fixed_blend_1_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17148187.325778313,17394888.5,0.013849586040193883,0.0077634663745760335,0.007815730117012224,0.014182394685754218
prior/fixed_blend_1_w0p5_fixed_blend,prior,fixed_blend_1_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17150771.593624447,17394888.5,0.013687859525459211,0.007406491677363181,0.007827801303677759,0.014033829902132089
tail/gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_weight_and_abs_q0p99_residual_tail,tail,gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11028424,28034941.5,17153431.223916337,17394888.5,0.013492564362414371,0.0069636285976644174,0.00788685503158965,0.013880932670747637
tail/gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p99_residual_tail,tail,gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11028424,28034941.5,17153531.80808572,17394888.5,0.01348880019025247,0.00701220579037487,0.007807564045791513,0.013875150272695258
