fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2,source,candidate_id,source_family,selected_candidate_id,selection_score,history_folds,uses_current_fold_for_selection
rw_01,fixed_blend_1_w0p5_fixed_blend,fixed_blend,2158640,6095643.0,4144719.916521524,4203448.0,0.01397140715871259,prior,prior/fixed_blend_1_w0p5_fixed_blend,prior/fixed_blend,prior/fixed_blend_1_w0p5_fixed_blend,,0,false
rw_02,fixed_blend_1_w0p75_fixed_blend,fixed_blend,2182840,6223295.5,3325857.2105353237,3418647.0,0.027142255244450908,nonlinear,nonlinear/fixed_blend_1_w0p75_fixed_blend,nonlinear/fixed_blend,nonlinear/fixed_blend_1_w0p75_fixed_blend,0.014164533689698167,1,false
rw_03,fixed_blend_1_w0p75_fixed_blend,fixed_blend,2230272,4993164.5,2877499.150756256,2903734.5,0.00903503720596488,nonlinear,nonlinear/fixed_blend_1_w0p75_fixed_blend,nonlinear/fixed_blend,nonlinear/fixed_blend_1_w0p75_fixed_blend,0.020653394467074537,2,false
rw_04,fixed_blend_1_w0p75_fixed_blend,fixed_blend,2220592,6119998.5,4333441.436432592,4382271.5,0.011142637686279433,nonlinear,nonlinear/fixed_blend_1_w0p75_fixed_blend,nonlinear/fixed_blend,nonlinear/fixed_blend_1_w0p75_fixed_blend,0.01678060871337132,3,false
rw_05,fixed_blend_1_w0p75_fixed_blend,fixed_blend,2236080,4602840.0,2467481.408863034,2486787.5,0.0077634663745760335,nonlinear,nonlinear/fixed_blend_1_w0p75_fixed_blend,nonlinear/fixed_blend,nonlinear/fixed_blend_1_w0p75_fixed_blend,0.015371115956598347,4,false
