modulo,index_column,min_train_bucket_rows,max_abs_bucket_mean,valid_r2
14,sample_index,11244,0.014998729103166212,0.000045139568735863556
4,sample_index,39357,0.005492252210680172,0.000016922643003680626
7,sample_index,22489,0.009178130371541865,0.00001631651713096538
10,sample_index,15742,0.008689094428829713,0.000014071061908649263
2,sample_index,78714,0.0026912816644859856,0.000013945660147118843
12,sample_index,13119,0.017943745014097567,-4.56067660059567e-6
22,sample_index,7155,0.023546129446734246,-5.645586149016779e-6
20,sample_index,7871,0.01678597498174172,-8.30220818315297e-6
28,sample_index,5622,0.023421474689023204,-0.00001261818426101513
6,sample_index,26238,0.010275842513702293,-0.000018671119312640982
3,sample_index,52476,0.005965151192518712,-0.000023114279493308132
5,sample_index,31485,0.007291336496165834,-0.00003799399373094481
8,sample_index,19678,0.016803556808191317,-0.000045117911266823185
11,sample_index,14311,0.014253176198401168,-0.00004951633974958902
24,sample_index,6559,0.029219417761571834,-0.00005807000228075232
30,sample_index,5247,0.027748051094868602,-0.00005832499323177309
18,sample_index,8746,0.016724065676164253,-0.00005890652147888531
9,sample_index,17492,0.011853142986591668,-0.00007252096366272553
13,sample_index,12109,0.008703273806569727,-0.00007541654518194996
21,sample_index,7496,0.02525404436447481,-0.0000964148569655432
19,sample_index,8285,0.025800114622077798,-0.00010537121235243418
16,sample_index,9839,0.020802996352929152,-0.00010630403735367722
60,sample_index,2623,0.038744722869012885,-0.00011228780816807671
53,sample_index,2970,0.041916428467195316,-0.00013040584921264475
42,sample_index,3748,0.029708845553657246,-0.00013877077429746976
26,sample_index,6054,0.025269137941351206,-0.0001410251353768377
15,sample_index,10495,0.018628910164393518,-0.00014559537718850102
31,sample_index,5078,0.03625669364520949,-0.00014724815967981364
32,sample_index,4919,0.030437839957336465,-0.00014763232266989945
43,sample_index,3661,0.033314426794880746,-0.00016186002018336865
23,sample_index,6844,0.024460507905211867,-0.000164300046275212
44,sample_index,3577,0.03614073780422869,-0.00018990400055596268
35,sample_index,4497,0.033886269331664096,-0.0002174320381487238
48,sample_index,3279,0.04108120204459157,-0.0002546990620284628
38,sample_index,4142,0.04016411411492155,-0.00026349955162019434
29,sample_index,5428,0.03707463538320073,-0.00026893490429835687
64,sample_index,2459,0.05354268789487455,-0.0002723532821788943
45,sample_index,3498,0.03728332334623457,-0.0002798630982538963
17,sample_index,9260,0.023049419143204616,-0.00028885219964314146
27,sample_index,5830,0.029849083079100516,-0.0003099818661018716
37,sample_index,4254,0.02777996309445534,-0.0003147289460641023
63,sample_index,2498,0.05011035260271959,-0.0003155627498447888
41,sample_index,3839,0.0373120238615033,-0.00031838139400020005
39,sample_index,4036,0.029095233820300926,-0.00032022932561859285
36,sample_index,4373,0.03626040676885918,-0.00033128647209457185
40,sample_index,3935,0.051384005113654097,-0.000341925883191152
25,sample_index,6297,0.022753504888874905,-0.00034813056626870065
34,sample_index,4630,0.03219195545785676,-0.00038080672862439435
52,sample_index,3027,0.0461123614269949,-0.00038739861279535326
47,sample_index,3349,0.03675978078836118,-0.00041468647551168303
49,sample_index,3212,0.03976670605468476,-0.00042534077941525084
59,sample_index,2668,0.0489182529351939,-0.00044073144436085343
58,sample_index,2714,0.04801475644704554,-0.00044844544952216125
54,sample_index,2915,0.040112802806245636,-0.0004674602295122732
56,sample_index,2811,0.038072965910304894,-0.0004947721914745351
62,sample_index,2539,0.04813766175180865,-0.000505587848367739
46,sample_index,3422,0.03433692010105369,-0.0005113975479205113
55,sample_index,2862,0.05479882911961299,-0.0005226651749778988
33,sample_index,4770,0.03240466543785652,-0.0005469318741984086
89,sample_index,1768,0.056444050212519095,-0.0005512903297171245
51,sample_index,3086,0.04020242453020955,-0.0005681760034219607
57,sample_index,2761,0.05136310848025643,-0.0005683840193719814
50,sample_index,3148,0.04285072651267202,-0.000631591465963588
61,sample_index,2580,0.0513825124526166,-0.0006903240024036528
97,sample_index,1622,0.06411474221900007,-0.0007824328179182327
127,sample_index,1239,0.09995685241762862,-0.0014113110036662047
