fold,train_start,train_end,valid_start,valid_end,engine,feature_set,n_features,train_sample_rows,rows,numerator,denominator,weighted_zero_mean_r2
rw_01,1539,1658,1659,1678,xgboost,operational,95,222638,740520,956967.7770841257,960511.5364725835,0.003689450104339298
rw_02,1559,1678,1679,1698,xgboost,operational,95,223096,752136,799870.4798113708,800877.1940120393,0.001257014443906579
