rule,window_index,train_start,train_end,valid_start,valid_end,train_rows,valid_rows,alpha,valid_r2,valid_corr
feature_04::z,1,0,339,340,679,23743,35268,-0.011851564387595506,0.00019515729700658735,-0.017020630072812633
feature_04::z,2,0,679,680,1019,59011,51856,-0.014295244606825876,0.0008521027230862233,-0.030668353352894175
feature_04::z,3,0,1019,1020,1359,110867,62697,-0.020913316870762592,0.0012636361575484312,-0.036770001163932864
feature_04::z,4,0,1359,1360,1698,173564,62073,-0.024591354147063767,0.0012906216592173392,-0.03600041144507023
feature_16::square_z,1,0,339,340,679,23743,35268,-0.0007571454000337165,0.00040552733573984145,-0.02217791823755661
feature_16::square_z,2,0,679,680,1019,59011,51856,-0.002198271014709765,-0.0011771302913512471,0.02722236294752307
feature_16::square_z,3,0,1019,1020,1359,110867,62697,0.00030048542089867455,0.00005415753107174126,0.01697105977444548
feature_16::square_z,4,0,1359,1360,1698,173564,62073,0.0006186510956580224,0.00043396453616395547,0.04982699313804338
