left,right,interaction,alpha,valid_r2,valid_corr
feature_04,feature_47,z_diff,-0.012145456455399415,0.001781669320267354,-0.04267254266290549
feature_04,feature_17,z_diff,-0.015366854536903847,0.0014224541545612146,-0.04541280502792438
feature_47,feature_36,z_diff,0.011101518111656222,0.0014010999408647917,0.038034437708218086
feature_04,feature_60,z_diff,-0.015701090006939505,0.0013808872736259525,-0.039388982753203405
feature_04,feature_15,z_diff,-0.016099803805636574,0.0013387454681091926,-0.04295124063349388
feature_04,feature_16,z_diff,-0.01377023836424603,0.0013244248009941506,-0.04470834549296637
feature_17,feature_56,z_product,0.027971914217814937,0.0012879896986212058,0.03815306174699947
feature_47,feature_45,z_diff,0.018744538686770555,0.0011718494110566358,0.03683555109726786
feature_47,feature_66,z_diff,0.00832158536415067,0.0010754889185373706,0.03457699719304804
feature_60,feature_07,z_diff,0.040297065669445215,0.0010297001576750064,0.034167622341450966
feature_16,feature_56,z_product,0.01807599166924582,0.0010243502411106942,0.041414841239184534
feature_47,feature_19,z_diff,0.007455758183301758,0.0010176582837655435,0.03458881209376981
feature_47,feature_49,abs_z_diff,0.008019604721940937,0.0010044466454298684,0.03578740317851688
feature_47,feature_56,z_diff,0.019470834699520594,0.0010013407462896584,0.03601383321084674
feature_66,feature_07,z_product,-0.018474662559722348,0.0008823392872553404,-0.029664366866461143
feature_60,feature_45,z_diff,0.020494151426306745,0.0008722928880818825,0.029693160199388575
feature_04,feature_15,rank_diff,-0.04834268274287954,0.000854721654535151,-0.03703967565535199
feature_04,feature_47,abs_z_diff,0.006618116882331365,0.0008515448537599335,0.03595744056144377
feature_04,feature_49,z_diff,-0.012170454540793066,0.000838685412607898,-0.031377265623306366
feature_17,feature_36,z_diff,0.011930691862441792,0.0008268230137153942,0.03825117483139788
feature_66,feature_07,rank_product,-0.2625868002268583,0.0008263864129053333,-0.02868919609779229
feature_04,feature_17,rank_diff,-0.04391956538369937,0.0008099290040680662,-0.03619035335313008
feature_04,feature_15,sign_product,0.016795880695783735,0.0008086276211761723,0.029832319465730228
feature_36,feature_60,z_diff,-0.012472093230490275,0.0007867521884171724,-0.030399500936051444
feature_04,feature_16,rank_diff,-0.04055532958188798,0.000786315948481664,-0.034130582072769665
feature_04,feature_47,z_product,-0.007461495099460206,0.0007751761409343638,-0.030649833969813918
feature_60,feature_56,z_diff,0.021971011046471287,0.0007698928304697983,0.02797503785534694
feature_04,feature_60,rank_diff,-0.03761535526833223,0.000768768652018248,-0.02988683344270412
feature_36,feature_15,z_diff,-0.012690242156659204,0.0007619509845657735,-0.03490729021063648
feature_19,feature_07,z_product,-0.023123771889389053,0.0007510885140705748,-0.02803098338017455
feature_04,feature_17,sign_product,0.014847498244507326,0.0007415952452548558,0.02935994254783017
feature_36,feature_16,z_diff,-0.010208802579165163,0.0007287571442715635,-0.03740729918237285
feature_47,feature_07,abs_z_diff,0.0040639386852596325,0.0007111641157303561,0.039861068649734085
feature_47,feature_36,z_product,0.0026158691288004146,0.0007004164593650275,0.0303149767515748
feature_47,feature_19,z_product,-0.005627897902589041,0.0006839935498709204,-0.031772155707607684
feature_04,feature_15,rank_product,0.11570935938244094,0.0006730729785110467,0.02889561098347443
feature_17,feature_45,z_diff,0.013606854293908436,0.0006693231286688528,0.030853843323132946
feature_04,feature_16,sign_product,0.014358801766711336,0.0006690733028548168,0.02770445062173834
feature_60,feature_49,z_diff,0.023705274696380823,0.0006637312127718564,0.03729733919027
feature_16,feature_07,z_diff,0.01814359649978956,0.0006385768647061418,0.026780367184725765
feature_17,feature_56,z_diff,0.01444598490539233,0.0006360910216584026,0.027969545506400847
feature_60,feature_49,rank_diff,0.08568262567190689,0.0006184379254684513,0.03598819823636982
feature_16,feature_45,z_diff,0.011803296913531786,0.0006155276062951298,0.03015190232433846
feature_17,feature_07,z_diff,0.019621734793615186,0.000609517917739888,0.027356157715576618
feature_15,feature_56,z_product,0.021546038189098192,0.0005956225176264596,0.025385734482922487
feature_16,feature_60,z_product,0.003758574960032767,0.0005929695489005349,0.043805658965305326
feature_16,feature_56,z_diff,0.012569220634929344,0.0005896801120784945,0.027280566176739258
