feature,beta,rhs
tabm_prediction,0.7963257390560639,222652.34375
tree_prediction,0.14697701510202849,120338.82168930065
xgboost_prediction,0.16860221155838237,124337.8421565467
lightgbm_prediction,0.22756552787106823,122791.96626789162
ridge_calibrated_prediction,0.09872446269058156,92462.2693632964
