clock,strategy,folds,mean_r2,std_r2,min_r2,max_r2,global_r2,validation_rows
row_activity,clock_simplex,5,0.0036969654763539415,0.0008441900852418781,0.002607427225524428,0.004847507515661875,0.0037204505862229453,3716152
batch_missing,clock_simplex,5,0.003654272015438509,0.000722340771317245,0.002671077027620261,0.004531804454616539,0.003646136820131596,3716152
none,base_ensemble,5,0.003540573601141528,0.0006689441294876303,0.002570778056762313,0.004216137871367653,0.0035274374560049226,3716152
none,global_shrink,5,0.003540573601141528,0.0006689441294876303,0.002570778056762313,0.004216137871367653,0.0035274374560049226,3716152
clock_time,clock_simplex,5,0.003437250008476922,0.0005762433355220339,0.0024362869265736053,0.003847216899175998,0.0035032359593879514,3716152
row_activity,clock_shrink,5,0.0034937600136411675,0.0007086054961624443,0.002440323625606422,0.004183914219632601,0.0034874783197033077,3716152
symbol_activity_ewm,clock_shrink,5,0.003483109480849955,0.0007157389496820236,0.002402092566032743,0.004197812763630404,0.0034845503766709474,3716152
batch_activity,clock_shrink,5,0.0034926553135304905,0.0006662620917041314,0.002552685848675851,0.004216137871367653,0.003474618550383224,3716152
batch_activity,clock_predabs_shrink,5,0.0034796852006971912,0.0006408518731411408,0.0025647630847649427,0.004160374906592712,0.0034646285621197093,3716152
symbol_weight_cum,clock_simplex,5,0.0034152109356879066,0.0005850526491154472,0.0024623612982836995,0.004031346309411932,0.0034502264896684176,3716152
row_activity,clock_predabs_shrink,5,0.0034147040024322894,0.0006917315070495498,0.0023788245139521047,0.0041135533812024505,0.0034126183366021134,3716152
symbol_activity_ewm,clock_predabs_shrink,5,0.0033994882980225905,0.0007027483167283393,0.0023399730147407594,0.004090820216040902,0.003397304832588932,3716152
symbol_activity_ewm,clock_simplex,5,0.0033401748095664764,0.00046217086277281654,0.0026176921793142904,0.0038348282515113796,0.0033775062318415205,3716152
batch_weight,clock_shrink,5,0.003351783753361537,0.0005052555460740111,0.002585819378608356,0.003856371285230753,0.003368955069672608,3716152
batch_weight,clock_simplex,5,0.0033094515211744336,0.0005666116605416876,0.0024244621380173914,0.003938225833030606,0.0033578753240679493,3716152
clock_time,clock_predabs_shrink,5,0.0033945291967798497,0.0007355838128855296,0.002527260820836874,0.004194273671936144,0.0033363438800642076,3716152
batch_activity,clock_weight_shrink,5,0.003334065178517287,0.0005657821705934842,0.0024891869967529345,0.003961900699037013,0.0033356860594523363,3716152
batch_activity,clock_simplex,5,0.003270586543816667,0.0005163509074936911,0.002458668698335109,0.0038285946459490905,0.003315814561999808,3716152
row_activity,clock_weight_shrink,5,0.0033172949375989357,0.0007376667217718185,0.002236972321649766,0.003994990579109903,0.0033031428713978794,3716152
clock_time,clock_shrink,5,0.0033252250666129914,0.0007095792437017022,0.002364719118824077,0.004073465213716654,0.0032934421570615102,3716152
batch_weight,clock_predabs_shrink,5,0.003342697758366575,0.0006092378168356297,0.002607412231687256,0.003993053375129563,0.003290507074481086,3716152
symbol_weight_cum,clock_shrink,5,0.003344345390702741,0.0007782204553300076,0.0024036629299134527,0.0042109782462068646,0.003288016684677264,3716152
symbol_weight_cum,clock_predabs_shrink,5,0.0033284055117889233,0.0006782633847136229,0.00247036432548442,0.004004913408200861,0.0032845386754514205,3716152
symbol_activity_ewm,clock_weight_shrink,5,0.0032682558498693614,0.000769086815329798,0.002124786985406746,0.003996192793538245,0.003258957237374127,3716152
symbol_weight_cum,clock_weight_shrink,5,0.003208486950506839,0.0005936288291154701,0.0023249876078198506,0.0037502786675241984,0.0032041429397423604,3716152
batch_missing,clock_weight_shrink,5,0.003095534182773263,0.0009040527322698208,0.0018947153725424881,0.004034481107579757,0.0030201781706379327,3716152
clock_time,clock_weight_shrink,5,0.003034161695362769,0.0006558352215837215,0.002127631820538989,0.00370542534712337,0.003004314368488914,3716152
batch_weight,clock_weight_shrink,5,0.002998598719957335,0.0006196651256396492,0.0022277909475926228,0.0036549069563283076,0.002982605889678802,3716152
batch_missing,clock_predabs_shrink,5,0.003070850576121198,0.0011248128012159107,0.0014667057801848182,0.004216137871367653,0.0029754390183374113,3716152
batch_missing,clock_shrink,5,0.0030283197156250052,0.0012028484773147514,0.001252589757705258,0.004216137871367653,0.002926220028477533,3716152
