clock_bucket,_simplex_rows,_simplex_weight_ridge_calibrated_prediction,_simplex_weight_xgboost_prediction,_simplex_weight_lightgbm_prediction,fold,clock
19,36768,0.0,0.520766589259833,0.47923341074016695,otf_01,batch_missing
0,1446208,0.6227395325661516,0.3772604674338485,0.0,otf_01,batch_missing
19,73512,0.043625289700692814,0.24964594206430774,0.7067287682349995,otf_02,batch_missing
18,25488,0.7012437730693828,0.0,0.2987562269306172,otf_02,batch_missing
0,724048,0.45415724282744807,0.45743442530576905,0.08840833186678289,otf_02,batch_missing
9,441792,0.19661717977311327,0.0,0.8033828202268868,otf_02,batch_missing
15,215232,0.4436097172871073,0.0,0.5563902827128927,otf_02,batch_missing
0,1141296,0.3285632877691654,0.050707256242239825,0.6207294559885949,otf_03,batch_missing
18,50976,0.7015774252753053,0.29842257472469463,0.0,otf_03,batch_missing
19,73536,0.0,0.0,1.0,otf_03,batch_missing
15,215232,0.2432357049055101,0.0,0.7567642950944898,otf_03,batch_missing
