fold,train_start,train_end,selection_start,selection_end,valid_start,valid_end,phase,clock,strategy,selected_by_selection,rows,numerator,denominator,weighted_zero_mean_r2,prediction_mean,prediction_std
otf_01,1499,1618,1619,1638,1639,1658,selection,batch_missing,base_ensemble,false,737616,1256882.7295323275,1261533.1712373619,0.0036863412005829765,-0.005164379754160207,0.031584435210577466
otf_01,1499,1618,1619,1638,1639,1658,selection,batch_missing,batch_missing_clock_simplex,false,737616,1256522.0596283646,1261533.1712373619,0.0039722392745979995,-0.005318552057659526,0.035921591906080255
otf_01,1499,1618,1619,1638,1639,1658,selection,batch_missing,clock_weight_delta_blend,false,737616,1256565.2682810042,1261533.1712373619,0.003937988369727141,-0.005321454845329306,0.034422334079169344
otf_01,1499,1618,1619,1638,1639,1658,selection,batch_missing,group_select_clock_weight_delta_blend,true,737616,1256222.2860498652,1261533.1712373619,0.004209865668682755,-0.005365645184746959,0.03561850627967293
otf_01,1499,1618,1619,1638,1639,1658,validation,batch_missing,base_ensemble,false,743424,723872.6981047424,725398.6499699302,0.002103604501126344,-0.002155394182776504,0.028209671330397056
otf_01,1499,1618,1619,1638,1639,1658,validation,batch_missing,batch_missing_clock_simplex,false,743424,723933.1475350368,725398.6499699302,0.0020202717980715157,-0.004413943861444179,0.030264310587704273
otf_01,1499,1618,1619,1638,1639,1658,validation,batch_missing,clock_weight_delta_blend,false,743424,723864.1495701477,725398.6499699302,0.002115389103420684,-0.004372921958979124,0.028689261768149586
otf_01,1499,1618,1619,1638,1639,1658,validation,batch_missing,group_select_clock_weight_delta_blend,true,743424,723726.0587407281,725398.6499699302,0.0023057545382411115,-0.002304388269558854,0.029904012515339466
otf_01,1499,1618,1619,1638,1639,1658,validation,batch_missing,selection_chosen_gate,false,743424,723726.0587407281,725398.6499699302,0.0023057545382411115,-0.002304388269558854,0.029904012515339466
otf_02,1519,1638,1639,1658,1659,1678,selection,batch_missing,base_ensemble,false,743424,723532.2747830374,725398.6499699302,0.0025728958648739697,-0.004711422542006752,0.026197047147261107
otf_02,1519,1638,1639,1658,1659,1678,selection,batch_missing,batch_missing_clock_simplex,false,743424,723456.7635242938,725398.6499699302,0.0026769920866503982,-0.004875220779967769,0.028195550123994845
otf_02,1519,1638,1639,1658,1659,1678,selection,batch_missing,clock_weight_delta_blend,true,743424,723426.32266637,725398.6499699302,0.0027189564023064605,-0.004528813189107944,0.027806385108326993
otf_02,1519,1638,1639,1658,1659,1678,selection,batch_missing,group_select_clock_weight_delta_blend,false,743424,723455.6772276504,725398.6499699302,0.002678489603420542,-0.004661887346408691,0.02666329810161624
otf_02,1519,1638,1639,1658,1659,1678,validation,batch_missing,base_ensemble,false,740520,955714.8324834141,960511.5364725839,0.0049939056503011114,-0.006798436019385675,0.0349837448439173
otf_02,1519,1638,1639,1658,1659,1678,validation,batch_missing,batch_missing_clock_simplex,false,740520,956158.9522223391,960511.5364725839,0.004531527300785321,-0.006934085391210961,0.03289274549761963
otf_02,1519,1638,1639,1658,1659,1678,validation,batch_missing,clock_weight_delta_blend,true,740520,955934.5627617256,960511.5364725839,0.004765141840635145,-0.006776574505351468,0.03357919621166401
otf_02,1519,1638,1639,1658,1659,1678,validation,batch_missing,group_select_clock_weight_delta_blend,false,740520,955743.6514223411,960511.5364725839,0.004963901909760038,-0.006814596675392568,0.03517639878989908
otf_02,1519,1638,1639,1658,1659,1678,validation,batch_missing,selection_chosen_gate,false,740520,955934.5627617256,960511.5364725839,0.004765141840635145,-0.006776574505351468,0.03357919621166401
otf_03,1539,1658,1659,1678,1679,1698,selection,batch_missing,base_ensemble,false,740520,956447.0032849353,960511.5364725839,0.00423163390892245,-0.005146393482844861,0.029996515588968972
otf_03,1539,1658,1659,1678,1679,1698,selection,batch_missing,batch_missing_clock_simplex,false,740520,956144.6053402115,960511.5364725839,0.004546464010635076,-0.0052360998063979425,0.032111647136945025
otf_03,1539,1658,1659,1678,1679,1698,selection,batch_missing,clock_weight_delta_blend,true,740520,955939.7298486496,960511.5364725839,0.004759762324900274,-0.0051149076879691766,0.03209856653621301
otf_03,1539,1658,1659,1678,1679,1698,selection,batch_missing,group_select_clock_weight_delta_blend,false,740520,956106.529712301,960511.5364725839,0.0045861050003209725,-0.005106259973035461,0.03136081740462378
otf_03,1539,1658,1659,1678,1679,1698,validation,batch_missing,base_ensemble,false,752136,798597.6048831644,800877.1940120393,0.002846365392745409,-0.0027447330049554255,0.02557306233803803
otf_03,1539,1658,1659,1678,1679,1698,validation,batch_missing,batch_missing_clock_simplex,false,752136,798746.5464914379,800877.1940120393,0.002660392300507186,-0.002721084851649211,0.025370799074627998
otf_03,1539,1658,1659,1678,1679,1698,validation,batch_missing,clock_weight_delta_blend,true,752136,798532.9930408419,800877.1940120393,0.002927041734643532,-0.002699643977613107,0.025572674333452287
otf_03,1539,1658,1659,1678,1679,1698,validation,batch_missing,group_select_clock_weight_delta_blend,false,752136,798567.5251223549,800877.1940120393,0.002883923911123132,-0.00269157955402923,0.025501208422046596
otf_03,1539,1658,1659,1678,1679,1698,validation,batch_missing,selection_chosen_gate,false,752136,798532.9930408419,800877.1940120393,0.002927041734643532,-0.002699643977613107,0.025572674333452287
