candidate_clock,candidate_strategy,tail_buckets,folds,validation_rows,mean_r2,std_r2,min_fold_r2,max_fold_r2,global_r2
batch_missing,clock_simplex,"q90_q99,q99_q100",5,11028424,0.008865908294896507,0.006460987167852605,0.00453640370132713,0.019762287997375116,0.009010271128322422
row_activity,clock_simplex,"q90_q99,q99_q100",5,11028424,0.00878269798384288,0.006495296328607761,0.004285945361540033,0.019792114611411393,0.008934323284280676
