rule,window_index,train_start,train_end,valid_start,valid_end,train_rows,valid_rows,alpha,valid_r2,valid_corr
feature_04::z,1,900,1012,1013,1125,8986,10074,-0.020534639629335338,0.0015231704258270584,-0.04483990782676642
feature_04::z,2,900,1125,1126,1237,19060,10469,-0.02692199757428448,0.0006265975389643241,-0.025148984798791706
feature_04::z,3,900,1237,1238,1349,29529,10460,-0.025951812646718288,0.0001040730191289585,-0.01911692676885318
feature_04::z,4,900,1349,1350,1461,39989,10011,-0.022947938313509,0.0013046903534457144,-0.03708121666268007
feature_16::square_z,1,900,1012,1013,1125,8986,10074,-0.0022475881178123853,0.0000366388605814727,-0.0005974899972091292
feature_16::square_z,2,900,1125,1126,1237,19060,10469,-0.002084199178362097,-0.00039438854805196044,-0.005500593543649264
feature_16::square_z,3,900,1237,1238,1349,29529,10460,-0.0010185942993137913,-0.00006279139243026144,0.019589976279576652
feature_16::square_z,4,900,1349,1350,1461,39989,10011,-0.0005528688260161955,-0.00015772447866435613,0.05564694811683242
