candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2,report,category,category_rank
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11151360,21105826.5,16170817.557454977,16427583.5,0.015416459997629306,0.012909969694714585,0.003295373342870848,0.015630171202296594,strong_oof_hist_max1398_gateway_tail_wf_blend_v1,historical,1
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11151360,21105826.5,16170817.557454977,16427583.5,0.015416459997629306,0.012909969694714585,0.003295373342870848,0.015630171202296594,strong_oof_hist_max1398_gateway_residual_tail_modes_v1,historical,2
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11151360,21105826.5,16170817.557454977,16427583.5,0.015416459997629306,0.012909969694714585,0.003295373342870848,0.015630171202296594,strong_oof_hist_max1398_gateway_tail_fixed_blend_v1,historical,3
wf_blend_5_wf_blend,walk_forward_blend,11151360,21105826.5,16170933.880163254,16427583.5,0.015410349674222234,0.01291109543371216,0.0032909263720950818,0.015623090263808148,strong_oof_hist_max1398_gateway_tail_wf_blend_v1,historical,4
fixed_blend_5_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16171001.66717175,16427583.5,0.015386503334356849,0.012831522318604183,0.0034941620396456,0.015618963849932666,strong_oof_hist_max1398_gateway_signed_square_cube_pair_v1,historical,5
fixed_blend_3_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16171094.490390984,16427583.5,0.015398486049468963,0.01291605732009471,0.0032976896850397362,0.015613313401147244,strong_oof_hist_max1398_gateway_tail_fixed_blend_v1,historical,6
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p9_residual_tail,residual_tail,11151360,21105826.5,16171170.119677708,16427583.5,0.015401575338796714,0.012893511093798327,0.0032631923470060383,0.015608709602498272,strong_oof_hist_max1398_gateway_residual_tail_modes_v1,historical,7
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_q0p95_residual_tail,residual_tail,11151360,21105826.5,16171183.804859068,16427583.5,0.01540326073743481,0.01289435455993948,0.0032790397715402927,0.015607876541362975,strong_oof_hist_max1398_gateway_residual_tail_modes_v1,historical,8
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_q0p95_residual_tail,residual_tail,11151360,21105826.5,16171183.804859068,16427583.5,0.01540326073743481,0.01289435455993948,0.0032790397715402927,0.015607876541362975,strong_oof_hist_max1398_gateway_residual_tail_v1,historical,9
fixed_blend_5_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16171350.511516036,16427583.5,0.015390668505174366,0.012912253066573065,0.0032447754229976912,0.015597728569388458,strong_oof_hist_max1398_gateway_tail_fixed_blend_v1,historical,10
wf_blend_3_wf_blend,walk_forward_blend,11151360,21105826.5,16171371.519114843,16427583.5,0.015376318250225474,0.0129209808831946,0.0033250168317088906,0.015596449769082477,strong_oof_hist_max1398_gateway_tail_wf_blend_v1,historical,11
fixed_blend_1_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16171410.44773914,16427583.5,0.015384134675021888,0.01291372400740054,0.00328447976019515,0.015594080058144888,strong_oof_hist_max1398_gateway_tail_fixed_blend_v1,historical,12
fixed_blend_3_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16171446.521510517,16427583.5,0.015376340088124251,0.0129209808831946,0.003298928523970031,0.015591884131313849,strong_oof_hist_max1398_gateway_tail_fixed_blend_v1,historical,13
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11151360,21105826.5,16171462.175831802,16427583.5,0.015372058306413106,0.012912331898926044,0.0033267504437360573,0.015590931202279279,strong_oof_hist_max1398_gateway_tail_fixed_blend_v1,historical,14
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11151360,21105826.5,16171462.175831802,16427583.5,0.015372058306413106,0.012912331898926044,0.0033267504437360573,0.015590931202279279,strong_oof_hist_max1398_gateway_residual_tail_modes_v1,historical,15
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11151360,21105826.5,16171462.175831802,16427583.5,0.015372058306413106,0.012912331898926044,0.0033267504437360573,0.015590931202279279,strong_oof_hist_max1398_gateway_tail_wf_blend_v1,historical,16
fixed_blend_5_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16171506.793889744,16427583.5,0.015356613701345357,0.012878134391069551,0.0034977300795913545,0.015588215157162688,strong_oof_hist_max1398_gateway_signed_square_v1,historical,17
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_q0p99_residual_tail,residual_tail,11151360,21105826.5,16171514.60180716,16427583.5,0.015384002334118806,0.012885880499485247,0.0033037757549266643,0.015587739864042716,strong_oof_hist_max1398_gateway_residual_tail_v1,historical,18
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_q0p99_residual_tail,residual_tail,11151360,21105826.5,16171514.60180716,16427583.5,0.015384002334118806,0.012885880499485247,0.0033037757549266643,0.015587739864042716,strong_oof_hist_max1398_gateway_residual_tail_modes_v1,historical,19
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_q0p9_residual_tail,residual_tail,11151360,21105826.5,16171533.822031,16427583.5,0.015391809914110577,0.012886133605360506,0.003243472877891385,0.015586569867016564,strong_oof_hist_max1398_gateway_residual_tail_v1,historical,20
