fold,train_start,train_end,valid_start,valid_end,clock,strategy,rows,numerator,denominator,weighted_zero_mean_r2,prediction_mean,prediction_std
rw_01,1279,1398,1399,1458,none,base_ensemble,2158640,4162701.185149803,4203447.772509598,0.00969361095105703,-0.000985504812270293,0.05956412561828712
rw_01,1279,1398,1399,1458,none,global_shrink,2158640,4162701.185149803,4203447.772509598,0.00969361095105703,-0.000985504812270293,0.05956412561828712
rw_01,1279,1398,1399,1458,row_activity,clock_shrink,2158640,4162701.185149803,4203447.772509598,0.00969361095105703,-0.000985504812270293,0.05956412561828712
rw_01,1279,1398,1399,1458,row_activity,clock_weight_shrink,2158640,4162913.486440359,4203447.772509598,0.009643104485401732,-0.0009426875553649333,0.05922310089506226
rw_01,1279,1398,1399,1458,row_activity,clock_predabs_shrink,2158640,4162696.245734364,4203447.772509598,0.009694786037725445,-0.0009826505185498446,0.05954102578289016
rw_01,1279,1398,1399,1458,row_activity,clock_simplex,2158640,4164213.0635747514,4203447.772509598,0.009333935154717588,-0.001090556013007607,0.061429848541409496
rw_01,1279,1398,1399,1458,batch_missing,clock_shrink,2158640,4162701.185149803,4203447.772509598,0.00969361095105703,-0.000985504812270293,0.05956412561828712
rw_01,1279,1398,1399,1458,batch_missing,clock_weight_shrink,2158640,4162701.185149803,4203447.772509598,0.00969361095105703,-0.000985504812270293,0.05956412561828712
rw_01,1279,1398,1399,1458,batch_missing,clock_predabs_shrink,2158640,4162701.185149803,4203447.772509598,0.00969361095105703,-0.000985504812270293,0.05956412561828712
rw_01,1279,1398,1399,1458,batch_missing,clock_simplex,2158640,4161910.101882516,4203447.772509598,0.009881809617984794,-0.0009065481371516178,0.059863638554178436
rw_02,1339,1458,1459,1518,none,base_ensemble,2182840,3351374.1685958533,3418646.9465360064,0.01967818818153133,0.00033800789794995135,0.0777191009502622
rw_02,1339,1458,1459,1518,none,global_shrink,2182840,3351374.1685958533,3418646.9465360064,0.01967818818153133,0.00033800789794995135,0.0777191009502622
rw_02,1339,1458,1459,1518,row_activity,clock_shrink,2182840,3351835.9785775137,3418646.9465360064,0.01954310257927916,0.00032882397843274304,0.07706722792862684
rw_02,1339,1458,1459,1518,row_activity,clock_weight_shrink,2182840,3352364.5299272956,3418646.9465360064,0.019388494233331777,0.000279954629687292,0.07588217237980398
rw_02,1339,1458,1459,1518,row_activity,clock_predabs_shrink,2182840,3351683.771729664,3418646.9465360064,0.019587625119989016,0.0004030980704167521,0.07709382854340649
rw_02,1339,1458,1459,1518,row_activity,clock_simplex,2182840,3352100.751790775,3418646.9465360064,0.01946565286967128,0.00014797705183986593,0.07504954208003276
rw_02,1339,1458,1459,1518,batch_missing,clock_shrink,2182840,3355528.0669509573,3418646.9465360064,0.018463117301131482,-0.0005163686117631746,0.0699227164682631
rw_02,1339,1458,1459,1518,batch_missing,clock_weight_shrink,2182840,3355283.1192864752,3418646.9465360064,0.01853476777230112,-0.000332334161812296,0.07170780283048711
rw_02,1339,1458,1459,1518,batch_missing,clock_predabs_shrink,2182840,3358015.2104418217,3418646.9465360064,0.017735594532691024,-0.0008161022664311208,0.06804066820508947
rw_02,1339,1458,1459,1518,batch_missing,clock_simplex,2182840,3353329.933005444,3418646.9465360064,0.019106100908356738,-0.00035712514479618976,0.07368213853713798
rw_03,1399,1518,1519,1578,none,base_ensemble,2230272,2887753.1093600392,2903734.5511061894,0.00550375437729389,0.0010177443216631086,0.047419644641419754
rw_03,1399,1518,1519,1578,none,global_shrink,2230272,2887753.1093600392,2903734.5511061894,0.00550375437729389,0.0010177443216631086,0.047419644641419754
rw_03,1399,1518,1519,1578,row_activity,clock_shrink,2230272,2887757.740327363,2903734.5511061894,0.005502159545795915,0.001016399165478689,0.04739431768558457
rw_03,1399,1518,1519,1578,row_activity,clock_weight_shrink,2230272,2887913.06747274,2903734.5511061894,0.005448667347165759,0.0009902062297931903,0.04728486580633682
