clock_bucket,_simplex_rows,_simplex_weight_ridge_calibrated_prediction,_simplex_weight_xgboost_prediction,_simplex_weight_lightgbm_prediction,fold,clock
9,18528,0.8593789480993967,0.03589396978697928,0.104727082113624,otf_01,batch_missing
0,728768,0.7379501085138812,0.022306756388984033,0.23974313509713482,otf_01,batch_missing
9,18576,0.1127010746881353,0.0,0.8872989253118647,otf_02,batch_missing
0,730656,0.8881524233014708,0.0,0.11184757669852913,otf_02,batch_missing
9,18528,0.014242711023798095,0.5080821167721922,0.4776751722040097,otf_03,batch_missing
0,728768,0.9258784685245418,0.0,0.0741215314754582,otf_03,batch_missing
9,18552,1.0,0.0,0.0,otf_04,batch_missing
0,729712,0.8692731328976441,0.0,0.1307268671023559,otf_04,batch_missing
9,18672,0.5053578123862795,0.0,0.4946421876137206,otf_05,batch_missing
0,734432,0.9751811296645368,0.0,0.024818870335463157,otf_05,batch_missing
