fold,train_start,train_end,valid_start,valid_end,engine,feature_set,n_features,train_sample_rows,rows,numerator,denominator,weighted_zero_mean_r2
rw_01,1539,1658,1659,1678,xgboost,operational,95,444636,740520,954884.1846972456,960511.5364725835,0.005858702953224326
rw_02,1559,1678,1679,1698,xgboost,operational,95,445576,752136,798685.1522916796,800877.1940120393,0.0027370509945208177
