symbol_id,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
32,284592,407069.44,408301.28,399840.62237699097,398659.1462988798,0.020721607453954127,0.023615245393306505,0.0028936379393523014
29,285560,484263.12,361720.97,360372.3189210987,360074.0057982498,0.0037284259012183574,0.004553130987793197,0.0008247050865748903
6,289432,191241.45,183720.19,182494.4690547424,182383.10258634543,0.0066716590154667355,0.007277833382651977,0.0006061743671852563
10,288464,562414.94,334471.62,329857.5632987216,329706.08340466087,0.013795076641489046,0.01424796975031628,0.0004528931088272673
2,289432,431909.3,385827.75,380195.4449842298,380086.374463005,0.0145979780245723,0.014880670291328224,0.0002826922667558619
21,287496,218281.69,224245.5,221933.9259492261,221884.7195685113,0.010308229377061773,0.010527660227245161,0.00021943085018342795
3,284592,413716.25,364615.94,362478.6273369004,362408.2101689422,0.005861812233864838,0.006054939194910514,0.0001931269610455884
12,285560,613381.75,534357.56,520900.0930487718,520859.0376486788,0.025184390370124543,0.025261221696139424,0.00007683132601490906
5,284592,713668.1,529303.7,521160.4590195075,521131.5902822784,0.015384794538187418,0.015439335509487728,0.00005454097130031397
36,288464,461414.38,438631.3,427054.48185390397,427031.24766559346,0.026393078460617225,0.026446048204564865,0.000052969743947568595
1,279752,1062508.5,615890.1,608167.5340373896,608137.6406618119,0.01253891018728448,0.012587447051839118,0.000048536864554595555
0,282656,753908.6,473252.84,464977.2367854942,464969.46393641015,0.017486650262745096,0.01750307456782152,0.000016424305076460985
23,288464,496203.75,367499.72,363400.3950895797,363398.9723369773,0.01115463074193257,0.011158502180548147,3.87143861555707e-6
22,287496,435694.75,357640.44,355585.1830033895,355584.18961812125,0.005746706135853263,0.005749483744770245,2.7776089169415085e-6
25,286528,642424.75,492532.66,489583.45233038615,489582.78228815994,0.005987834272895176,0.005989194674520748,1.3604016255672237e-6
28,287496,515145.7,357374.5,354417.30261191574,354416.9057997507,0.008274785660656425,0.008275896014543038,1.1103538865800204e-6
14,289432,409935.22,328127.34,325745.45103068114,325745.1029072629,0.007259049770425796,0.0072601107104078855,1.0609399821633766e-6
20,289432,371585.66,314679.25,312482.42612125113,312482.2750583121,0.006981152645904931,0.006981632699607276,4.800537023810627e-7
17,286528,741239.06,559594.8,554463.252120945,554463.4532447475,0.00917013572039671,0.00916977631069893,-3.5940969781060076e-7
11,287496,904675.5,731797.3,721707.1570759277,721707.6690348728,0.013788183219205608,0.013787483628026065,-6.995911795958018e-7
38,289432,898436.9,476678.53,470174.13960070437,470174.47621814016,0.013645237246659891,0.01364453107381236,-7.061728475826415e-7
34,290400,563435.75,334325.2,330933.4776214064,330933.82175955904,0.010144942724644723,0.010143913373086622,-1.0293515580979889e-6
24,290400,210345.97,212701.61,209490.96258455416,209491.42539911033,0.015094605066129807,0.015092429179649591,-2.1758864802797926e-6
8,287496,737996.06,621612.44,613556.7855357601,613559.9271190393,0.012959283756673323,0.012954229830642094,-5.053926031267475e-6
27,282656,685501.94,564358.4,554499.7024467601,554503.8922473078,0.017468815897770384,0.017461391890732925,-7.424007037494058e-6
13,284592,890317.0,664424.8,655235.3254349766,655240.6166157901,0.013830740351863935,0.01382277680096411,-7.963550899827704e-6
18,283624,412897.44,384981.28,381200.7392991339,381204.15320890665,0.009820066935698923,0.009811199206437693,-8.867729261213877e-6
31,289432,312174.75,261266.11,254668.0920777342,254670.44923380742,0.02525401137196681,0.025244989321311917,-9.02205065497274e-6
4,287496,399985.25,387327.66,384988.7116206157,384992.5265369537,0.00603867188836793,0.006028822562412328,-9.849325955574291e-6
33,275880,369653.97,313749.6,304517.3102940863,304521.97034534253,0.029425642741294222,0.029410789969054663,-0.000014852772239624948
37,287496,249379.22,242341.52,240061.77927816374,240065.7002081656,0.009407122592911099,0.009390943235479288,-0.000016179357431777615
7,285560,826602.1,625950.6,610083.6772696252,610096.4125174688,0.025348561207003795,0.025328215755885175,-0.000020345451118528057
30,290400,411242.62,352186.16,347384.86571661837,347392.14402550267,0.013632820166768367,0.013612154082212946,-0.000020666084555386027
35,273944,320996.7,282808.97,270682.70057623356,270693.1178664132,0.04287794770923947,0.0428411126321,-0.00003683507713947274
9,273944,411404.78,322413.06,314002.994433072,314020.6637490819,0.026084762204471867,0.026029958854158042,-0.000054803350313728
19,287496,1352779.6,1004480.94,985164.0116636254,985229.1344845003,0.019230754029490593,0.01916592171815079,-0.00006483231133981469
16,279752,565574.56,402455.6,388733.20909280924,388763.05624617834,0.03409664288506553,0.034022480284687684,-0.00007416260037783234
26,289432,209163.42,225791.16,223106.1992713288,223129.11558959176,0.011891329240983906,0.011789835813856175,-0.000101493427127779
15,288464,447256.44,384144.56,378879.8251107122,378981.3021577352,0.013705094131816087,0.013440930436871112,-0.0002641636949449575
