disagreement_bucket,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
q99_q100,111514,250323.7,746970.8,672745.601833396,670939.4436717003,0.09936828778916174,0.10178626467858098,0.0024179768894192198
q90_q99,1003622,1973023.0,3220486.8,3141295.188329918,3141295.0643942356,0.024589935564890086,0.02458997404841501,3.8483524962002406e-8
q00_q50,5575681,10526760.0,5522086.5,5491383.326779855,5491383.387411558,0.005560067416572445,0.005560056436718641,-1.0979853838592296e-8
q50_q90,4460543,8355720.0,6938038.5,6868757.788035805,6868757.982822672,0.009985633830684959,0.009985605755477911,-2.8075207009419517e-8
