baseline_abs_bucket,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
q99_q100,111514,220152.66,639929.44,552241.3330188507,550443.7885900318,0.13702777109882425,0.1398367439690852,0.002808972870260964
q90_q99,1003622,1922163.4,2577793.2,2490453.937081,2490445.503801745,0.033881426650100854,0.0338846981612102,3.2715111093333057e-6
q50_q90,4460543,8385830.0,6807759.5,6737773.630985912,6737773.544433781,0.010280308670435279,0.010280321384182112,1.271374686337412e-8
q00_q50,5575681,10577681.0,6402101.0,6393713.0038932115,6393713.041474609,0.0013101942794698784,0.0013101884093036364,-5.870166250187613e-9
