weight_bucket,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
q50_q90,4459576,10100895.0,7858373.5,7733572.958459769,7731852.175877612,0.015881217855098217,0.01610019225001047,0.00021897439491229214
q00_q50,5576648,6227590.5,5278316.5,5205422.643453828,5205300.501546855,0.013810057912626461,0.01383319822771989,0.000023140315093453477
q90_q99,1003816,4070194.8,2778133.8,2737179.5526758246,2737177.890880079,0.014741621897856882,0.014742220067669898,5.981698129558161e-7
q99_q100,111320,707146.44,512759.66,498006.750389551,498045.3099956203,0.028771580760355575,0.02869638060449442,-0.00007520015586111446
