fold,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
rw_05,2178000,4511331.5,4151853.2,4067754.191633725,4065911.999557561,0.020255787789771884,0.020699491351829247,0.00044370356205732895
rw_04,2247696,4716233.5,3110372.5,3069584.054552866,3069550.4762163465,0.013113685080206272,0.013124480679935768,0.000010795599729503408
rw_02,2233176,4180669.8,4717466.0,4656493.832336634,4656481.732786517,0.01292477098157474,0.012927335822554564,2.5648409798265734e-6
rw_03,2229304,4319461.5,1827235.0,1802438.9567814027,1802461.915517534,0.01357025408258783,0.013557689340706669,-0.000012564741881148603
rw_01,2263184,3378130.2,2620656.8,2577910.8696743455,2577969.7542222086,0.016311132820295726,0.016288663434381956,-0.000022469385913723955
