candidate_abs_bucket,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
q99_q100,111514,220080.95,639995.44,552305.7177974624,550508.5439558725,0.13701616381060155,0.13982426795679692,0.0028081041461953064
q90_q99,1003622,1922238.9,2577648.0,2490310.554607999,2490301.7437332547,0.03388261135422721,0.033886029538069296,3.4181838421376486e-6
q50_q90,4460543,8385831.5,6807674.5,6737691.145714453,6737691.065630757,0.010280067633308021,0.01028007939704556,1.1763737554085665e-8
q00_q50,5575681,10577675.0,6402265.5,6393874.486859058,6393874.524980282,0.0013106318600722977,0.001310625905738827,-5.954333568489093e-9
